nB8v3wH4fD2E,ネズミの冒険,小さなネズミのミミは、家族を守るために大きな冒険に出かけます。友達のリスやカメと出会い、協力して様々な困難を乗り越えます。途中で出会う危険な罠や優しい助けに支えられながら、ミミは成長していきます。最後には家族の元に無事帰ることができ、絆の大切さを学びます。,佐藤 美香,青空出版,2020-08-15,1500,280,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/nB8v3wH4fD2E.jpg
Jd3x9L2eC7T8,ネズミの陰謀,繁華街のネズミの街で、ひとつの宝物が消えた。ネズミ探偵のジェリーは、この事件を解決するため、仲間のネズミたちと共に調査を開始する。疑わしい仲間、謎の証拠、巧妙なトリックが次々と現れ、ジェリーは真実に迫っていく。果たして、彼は事件の背後に潜む陰謀を暴くことができるのか。,鈴木 雄太,緑の書房,2018-11-03,1600,220,"9784567890124",http://vsv-peridot.skygroup.local/my-books/images/Jd3x9L2eC7T8.jpg
nX5tY1K2wQ0J,ネズミの歴史を紐解く,本書では、ネズミの歴史的役割や文化的影響について探求します。古代エジプトでの神聖視から、現代の実験動物としての位置づけまで、ネズミが人間社会にどのように関わってきたのかを詳細に解説。様々なエピソードや実績を通じて、ネズミの驚くべき歴史を読み解きます。,田中 和也,光陽社,2021-03-21,2100,320,"9784567890125",http://vsv-peridot.skygroup.local/my-books/images/nX5tY1K2wQ0J.jpg
R1eF6qV9nT4X,魔法のネズミ王国,ある日、小さなネズミの村が魔女に呪われ、すべてのネズミが消えてしまう。若き勇者ネズミのルビーは、仲間たちと共に魔女の元へ向かい、失われた村を救うための冒険に出発する。旅の途中で出会う奇妙な生き物たちと協力しながら、ルビーは真実の力を手に入れ、王国を取り戻すことができるのか。,松本 洋子,ファンタジー出版,2019-01-10,2500,400,"9784567890126",http://vsv-peridot.skygroup.local/my-books/images/R1eF6qV9nT4X.jpg
hW4yA2T6fV1N,月の下のネズミたち,月が満ちる夜、ネズミたちは人間の世界へと旅をする秘密の儀式を行う。その中で、特別な力を持つネズミのアーサーが選ばれ、彼は不思議な冒険に挑む。人間との交流を通じて、アーサーは自分の本当の力に目覚め、仲間と共に不思議な運命を辿る。,小川 智子,スター出版社,2022-06-05,1800,250,"9784567890127",http://vsv-peridot.skygroup.local/my-books/images/hW4yA2T6fV1N.jpg
K1zV6pG5sD9T,ネズミの密室殺人,人気のネズミたちが集まるパーティーで、突然の殺人事件が発生。探偵ネズミのタビーは、密室で起こったこの事件を解決するため、様々な証拠をもとに調査を始める。犯人は誰か、そして動機は何か。タビーは限られた時間の中で、真実を明らかにしなければならない。,山下 勇気,クイーン出版社,2023-07-14,2000,300,"9784567890128",http://vsv-peridot.skygroup.local/my-books/images/K1zV6pG5sD9T.jpg
sY3fK8B2wX4L,ネズミの影,静かな村で、次々とネズミが失踪する事件が発生。村のネズミたちは恐れおののき、探偵のマックスに助けを求める。彼は調査を進める中で、村の秘密と暗い過去に直面する。果たして、彼は失踪した仲間たちを救い出すことができるのか、サスペンスと驚きの展開が待ち受ける物語。,鈴木 彩花,ノーブル出版,2024-02-02,1900,360,"9784567890129",http://vsv-peridot.skygroup.local/my-books/images/sY3fK8B2wX4L.jpg
xR7pJ4Q9fM3B,ネズミの宇宙探検,未来の世界で、ネズミたちは人類と共に宇宙に進出する。しかし、未知の惑星で謎の生物と遭遇し、彼らの文明を救うための冒険が始まる。科学技術を駆使して、ネズミたちは仲間を助け、平和を取り戻すために立ち上がる。果たして、彼らは宇宙の秘密を解き明かすことができるのか。,長谷川 憲一,宇宙出版,2021-11-30,2200,420,"9784567890130",http://vsv-peridot.skygroup.local/my-books/images/xR7pJ4Q9fM3B.jpg
tD4sY6W3eB1F,ネズミの恋物語,小さな街のネズミたちの間で、恋の予感が芽生えた。主人公のネズミ、ラッキーは、運命的に出会った美しいネズミ、ルナに恋をする。しかし、彼女には謎めいた過去があり、二人の恋は様々な試練に直面する。愛と友情、そして自己発見の旅を描く心温まるストーリー。,岩崎 和也,斬新出版,2019-04-25,1700,260,"9784567890131",http://vsv-peridot.skygroup.local/my-books/images/tD4sY6W3eB1F.jpg
K3eJ9rB1xL8N,ネズミのすべて,この図鑑では、ネズミの生態や習性、種類について詳しく解説します。身近にいるネズミから珍しい種まで、全ての情報を網羅し、美しい写真と共に紹介。読者はネズミの多様性や彼らの生活環境、社会構造について学ぶことができ、自然への理解を深めることができます。,鈴木 大輔,アカデミック出版,2020-09-12,2500,500,"9784567890132",http://vsv-peridot.skygroup.local/my-books/images/K3eJ9rB1xL8N.jpg

