2bh9A4jH4fYt,エイのフリーダンス,小さなエイのエルモは、自由に海を泳ぐことが大好きです。彼は、海の底で出会った友達と一緒に楽しいダンスを始めます。歌う魚や優雅なウミガメと共に、エルモはダンスの輪を広げていく。友情や楽しさが詰まった物語を通じて、子どもたちに海の生き物たちの素晴らしさを伝えます。,山下 悠里,ブルーオーシャン出版,2021-06-15,1500,120,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/2bh9A4jH4fYt.jpg
8rG5F2kW1bXy,エイの謎を追え,海洋生物学者の美咲は、海で発見された謎のエイの死体を調査することになります。彼女は、このエイが何らかの事件に巻き込まれたことを感じ取り、調査を進めます。周囲の海洋環境の変化や、漁業との関係が浮かび上がる中、次第に彼女自身も危険な状況に巻き込まれていく。真実を突き止めるために、彼女はどのように立ち向かうのか。,"田中 智也,佐々木 ひかる",海の探求社,2020-03-12,2200,320,"9782345678901",http://vsv-peridot.skygroup.local/my-books/images/8rG5F2kW1bXy.jpg
pZ3wQ6uA7dM9,エイの歴史をひも解く,本書では、エイの進化と人類との関わりを詳しく掘り下げます。古代の文化や神話に登場するエイの姿から、近代の漁業の影響まで、エイがどのように人々の生活と交差してきたのかを解説します。エイが持つ独自の生態とその役割についても探り、読者に自然環境の大切さを感じさせる内容です。,鈴木 智弘,自然文庫,2023-09-01,2500,350,"9783456789012",http://vsv-peridot.skygroup.local/my-books/images/pZ3wQ6uA7dM9.jpg
4T8qY3rB5sH1,エイの王国と失われた魔法,深海の奥に隠されたエイの王国。そこでは、エイたちが魔法の力を使い、海の平和を守っています。しかし、ある日、王国に危機が訪れ、魔法が失われてしまいます。主人公の少女、リナは、失われた魔法を取り戻すために冒険の旅に出ます。彼女は、エイたちと共に様々な試練に立ち向かいながら、仲間や友情を育んでいく物語です。,佐藤 優子,ファンタジー出版,2019-11-18,1800,240,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/4T8qY3rB5sH1.jpg
X7b8P9nW6kR5,星降る海のエイ,夜空に輝く星々が海の中に降り注ぐ、魔法の海域。その中で、特別な力を持つエイたちが暮らしています。主人公の少年、タクヤは、星のエネルギーを吸収するエイと心を通わせることで、彼の運命が大きく変わる。海と空のつながりを描いた物語で、友情や冒険、そして運命の力を感じさせます。,青木 創太,星辰出版,2024-02-14,2000,300,"9785678901234",http://vsv-peridot.skygroup.local/my-books/images/X7b8P9nW6kR5.jpg
qM5gJ8zV7eT3,エイの声を聞け,海洋調査団の一員として参加した真由美は、エイの不思議な行動に気づきます。彼女は、エイたちが何かを訴えていると感じ、行動の謎を解こうとします。しかし、調査が進むにつれて、次第に彼女自身が危険な状況に巻き込まれていく。エイの声を聞き取る力を持つ彼女が真実に迫る姿を描いたスリリングな物語です。,山田 光一,潮流社,2020-07-27,2100,280,"9786789012345",http://vsv-peridot.skygroup.local/my-books/images/qM5gJ8zV7eT3.jpg
yW1uN4pK8mZ6,失われたエイの記憶,突然、記憶を失ったエイのヒカリが海岸に漂着します。彼女は、自分の過去や能力を取り戻すために、探偵の修司と共に真実を追い求めることに。海の奥深くで起きた謎の事件が明らかになるにつれて、彼らは自らの運命に向き合うことになります。果たしてヒカリは自分の記憶を取り戻し、何を思い出すのか。,藤原 達也,メモリー出版,2022-05-30,1900,220,"9787890123456",http://vsv-peridot.skygroup.local/my-books/images/yW1uN4pK8mZ6.jpg
bT7eH1vN3rL8,未来の海を泳ぐエイ,未来の地球では、海洋環境が劇的に変化し、エイたちが新たな進化を遂げていました。科学者の優は、彼らの特異な能力を研究するために、特別な技術を使ってエイたちとコミュニケーションを取ります。しかし、その中で彼女は、エイたちが抱える秘密と人類の未来に関わる重大な問題に気づいてしまう。彼女の決断が未来を左右する。,三浦 忍,未来探求社,2023-03-22,2300,360,"9788901234567",http://vsv-peridot.skygroup.local/my-books/images/bT7eH1vN3rL8.jpg
8nD4T9gL5jK3,エイと恋の潮流,潮流に流されるように出会った若者たち、海の生き物たちの中でも特にエイに魅了された美少女、あかりは、海でのバイトを通じて、海洋研究者の悠斗と出会います。彼は彼女の海への情熱を理解し、共に海の生き物たちを守るための活動を始める。次第に二人の間に芽生える恋愛と、海の秘密が交錯する感動的な物語。,岸本 健,夢見出版,2018-12-05,1700,190,"9789012345678",http://vsv-peridot.skygroup.local/my-books/images/8nD4T9gL5jK3.jpg
F3a6K9wR7yX4,エイの不思議な世界,本書は、エイに関する詳細な情報を提供する図鑑です。多様なエイの種類、生態、行動、そしてそれらが生息する環境について、豊富な写真と共に解説します。エイの独特な形状や生態の面白さを理解し、海の重要な生態系における役割を知ることができます。子どもから大人まで楽しめる内容で、自然環境の大切さを学ぶ手助けとなります。,中村 恵子,知識の泉,2022-08-30,2400,400,"9780123456789",http://vsv-peridot.skygroup.local/my-books/images/F3a6K9wR7yX4.jpg

