e7F4gJ8m3Z9K,クジャクのひみつ,小さな村に住むクジャクのピコは、特別な羽を持つことを誇りに思っていました。しかし、羽が美しいことに気を取られて友達を大切にすることを忘れてしまいます。ある日、村で羽が盗まれる事件が起こり、ピコは友達と共に解決を目指す冒険に出ることになります。仲間の大切さを学び、真の美しさとは何かを見つける物語です。,佐藤 雅樹,未来社,2022-03-15,1500,250,"9784781234567",http://vsv-peridot.skygroup.local/my-books/images/e7F4gJ8m3Z9K.jpg
qK5mXc9L1H2Y,消えたクジャクの謎,世界的に有名な動物園で、珍しいクジャクが突然姿を消しました。探偵のジョンは、園内で起こる不可解な事件を追う中で、動物たちの協力を得て事件の真相を探ります。美しい羽根に隠された秘密とは何か？複雑な人間関係とともに、真実が明らかになるまでのスリリングな物語です。,田中 直樹,東洋出版,2020-07-22,2100,320,"9784791234567",http://vsv-peridot.skygroup.local/my-books/images/qK5mXc9L1H2Y.jpg
H3g9Q1kT8V5M,クジャクと文明の影,古代文明から現代に至るまで、クジャクは人々の文化や宗教にどのように影響を与えてきたのかを探る書籍です。本書では、インドの神話、エジプトの壁画、さらにはアートに至るまで、クジャクがどのように象徴として利用されてきたのかを深く掘り下げています。歴史的な文脈とともに、美の象徴であるクジャクの魅力を再発見する一冊です。,森田 翔子,知恵の森出版,2018-11-30,2500,400,"9784712345678",http://vsv-peridot.skygroup.local/my-books/images/H3g9Q1kT8V5M.jpg
T6yR3u8V9E1J,羽根の魔法,異世界の森に住むクジャクのルナは、特別な魔法の羽を持つことで知られていました。しかし、ある日、悪しき魔法使いに羽を奪われ、森のバランスが崩れてしまいます。ルナは友達の助けを借りて、魔法を取り戻すための旅に出ることになります。友情や勇気の力が描かれる心温まるファンタジーです。,小林 陽子,星空文庫,2021-05-10,1800,290,"9784821234567",http://vsv-peridot.skygroup.local/my-books/images/T6yR3u8V9E1J.jpg
W2eN8h5Q9Z3P,クジャクの王国,ある日、普通の少年が夢の中でクジャクの王国に迷い込み、様々な冒険を体験します。王国には、羽の色を変える不思議な力を持つクジャクたちが住んでおり、少年は彼らの助けを借りて困難を乗り越え、成長していく姿が描かれています。仲間たちとの絆や、真の勇気を見つける旅が繰り広げられます。,鈴木 智也,ファンタジー出版,2023-01-25,1600,220,"9784891234567",http://vsv-peridot.skygroup.local/my-books/images/W2eN8h5Q9Z3P.jpg
Y4kX2g6J8P1Q,クジャクの影,小さな村で、クジャクが次々と行方不明になる事件が発生します。村の人気者である探偵アリスは、村人たちの協力を得て真相を追います。背後には隠された陰謀が絡んでおり、アリスは思いもよらぬ真実にたどり着くことになります。村の秘密を解き明かすスリリングなストーリーです。,川口 梨花,夢の中出版社,2019-08-17,2300,300,"9784761234567",http://vsv-peridot.skygroup.local/my-books/images/Y4kX2g6J8P1Q.jpg
A9mH5gK6Z1J3,消えたクジャクの真実,ある美術館で展示されていた貴重なクジャクの絵画が消失し、館の館長が怪しい行動をとり始めます。若き探偵は、絵画の背後に潜む秘密と館長の過去を解明すべく調査を開始します。クジャクの絵画には何が隠されているのか？真実が明らかになるまでのサスペンスフルな展開が楽しめます。,中村 拓也,河童書房,2020-12-05,1900,280,"9784831234567",http://vsv-peridot.skygroup.local/my-books/images/A9mH5gK6Z1J3.jpg
Q3g8K2tY6W9N,クジャク星の冒険,未来の宇宙、地球の外にあるクジャク星。そこでは、クジャク型の宇宙人が美しい羽を持ち、文明を築いています。しかし、地球との接触がきっかけでトラブルが発生し、地球の少女とクジャク星の住人が協力して危機を乗り越えることになります。友情や異文化理解がテーマのSF冒険譚です。,山本 美咲,宇宙出版,2021-09-10,2200,350,"9784851234567",http://vsv-peridot.skygroup.local/my-books/images/Q3g8K2tY6W9N.jpg
R1g4M9h8D2Q6,クジャクの恋,自然保護団体に所属するエミは、野生のクジャクを研究しているが、同僚のアキと心が通じ合うようになります。しかし、エミの夢は海外での調査で、アキはその夢を応援するが、心の中には不安が渦巻いています。二人はお互いの気持ちを伝えられず、試練を乗り越えられるのか。クジャクの羽のように美しい恋の物語です。,鈴木 裕太,山星社,2023-06-20,2000,250,"9784871234567",http://vsv-peridot.skygroup.local/my-books/images/R1g4M9h8D2Q6.jpg
K8mG1F3v6L2Q,クジャクのすべて,この図鑑では、クジャクの生態、行動、羽の美しさ、文化的な象徴性など、多角的にクジャクを紹介しています。実際の観察データや、美しい写真が満載で、クジャクに関するあらゆる情報が網羅されています。さらに、保護活動についても触れ、自然との共生の大切さを伝える一冊です。,佐藤 健一,自然観察社,2017-04-12,2700,400,"9784811234567",http://vsv-peridot.skygroup.local/my-books/images/K8mG1F3v6L2Q.jpg

