i1dC0q2F45N3,カピバラの森の冒険,小さなカピバラのコロは、森の奥深くに隠された神秘の水源を見つけるための冒険に出ます。友達のリスやフクロウと共に、さまざまな動物たちと出会い、協力して困難を乗り越えます。勇気を出して未知の世界に飛び込むことで、コロは友情や自分の力を見つけていくのです。,高橋 直樹,アース出版,2021-05-15,1200,150,"9784567891234",http://vsv-peridot.skygroup.local/my-books/images/i1dC0q2F45N3.jpg
j5Tn9zA7rX4L,カピバラ探偵と消えた果物,カピバラのコータは、果物が mysteriously 消えた事件を解決するため、名探偵としてのスキルを駆使します。村の動物たちから手がかりを集め、ユニークなアプローチで事件の真相に迫る中、思わぬ真実が明らかになっていきます。果たして、コータはこの謎を解き明かせるのか？,村上 あすか,ホライズンブックス,2018-09-11,1500,200,"9784567895678",http://vsv-peridot.skygroup.local/my-books/images/j5Tn9zA7rX4L.jpg
h2K3jL1v7D5M,カピバラの足跡：南米の生態と文化,本書では、カピバラの歴史を通じて南米の生態系や人々との関わりを探ります。古代の壁画や伝説、現代の保護活動までを網羅し、カピバラがいかにして人々に愛され、文化に影響を与えてきたのかを解説します。また、彼らの生態や習性についても詳しく述べ、自然との共生の大切さを考えます。,"鈴木 美奈子,田中 光司",グリーンライフ出版,2019-12-05,2800,350,"9784567898765",http://vsv-peridot.skygroup.local/my-books/images/h2K3jL1v7D5M.jpg
q6R4nX9sZ1J8,カピバラ王国の秘密,カピバラたちが支配する王国では、平和な日々が続いていましたが、ある日、神秘の生き物が現れ、王国を脅かします。王女カピバラのリナは、王国を救うために勇者たちと共に冒険の旅に出ることを決意。様々な試練を乗り越え、仲間たちと絆を深めながら、王国の運命をかけた戦いに挑むのです。,佐藤 健一,ドリームファクトリー,2023-03-18,2000,250,"9784567894321",http://vsv-peridot.skygroup.local/my-books/images/q6R4nX9sZ1J8.jpg
o4F0sZ1jL9K6,カピバラの魔法の泉,ある日、カピバラのトモは、森の中に隠された伝説の魔法の泉を発見します。この泉には願いを叶える力があると言われており、トモは友達のためにその力を借りることに決めました。しかし、泉を守る魔法使いの試練に挑むことになり、友情や勇気を試される旅が始まります。トモは果たして無事に願いを叶えられるのか？,渡辺 あきら,星座出版,2020-07-22,1300,180,"9784567890987",http://vsv-peridot.skygroup.local/my-books/images/o4F0sZ1jL9K6.jpg
e5V7jP3nK8S2,カピバラの影,カピバラの町に突然起こった連続失踪事件。仲間のカピバラたちが次々と姿を消し、不安が広がる中、若きカピバラ探偵のミナは真相を解明するために立ち上がります。手がかりを追う中で見えてきたのは、隠された秘密と町の暗い過去。果たして、ミナは仲間を救うことができるのか？,"中村 あや,橋本 拓海",ナチュラルブックス,2022-02-01,1700,220,"9784567896543",http://vsv-peridot.skygroup.local/my-books/images/e5V7jP3nK8S2.jpg
c7Y1kG4nA6F0,カピバラと月の影,地元の人気カピバラ、モモが月夜に姿を消す事件が発生。彼女の親友であるカピバラのカンは、モモを探すため、月の光に導かれた不思議な場所に足を踏み入れます。そこで出会う奇妙な生き物たちや、解き明かされる秘密が、カンを驚愕の冒険へと導く。果たして、モモはどこに消えたのか？,平田 直美,ルミナス出版,2021-11-30,1600,200,"9784567898765",http://vsv-peridot.skygroup.local/my-books/images/c7Y1kG4nA6F0.jpg
b8T9jM2xW5C0,カピバラ星の異星人,遠い未来、地球のカピバラたちは進化を遂げ、宇宙探査を行う文明に発展しました。ある日、彼らは異星人との接触を果たしますが、文化の違いや誤解から紛争が勃発。カピバラのリーダーであるカイは、宇宙の平和のために交渉に挑む。果たして、異星人との理解を深め、共存の道を見出せるのか？,黒田 美穂,エヴァーグリーン社,2024-04-10,2500,300,"9784567893210",http://vsv-peridot.skygroup.local/my-books/images/b8T9jM2xW5C0.jpg
z1R6qJ2fN8C3,カピバラの恋の行方,若いカピバラのユウは、初恋の相手、アヤに告白する勇気を持てずにいました。ある日、友達に励まされ、思い切ってアヤに誘いをかけると、彼女もユウに特別な想いを抱いていることが分かります。しかし、二人の仲を引き裂こうとする影が迫り、ユウは本当の愛を守るために奮闘することになります。,山本 健太,ブックランド,2019-08-14,1900,230,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/z1R6qJ2fN8C3.jpg
t9H1xS8cD4A5,カピバラのすべて,この図鑑は、カピバラの生態や習性、環境への影響について詳しく解説しています。カピバラの成長過程や社会性、食性についての情報を豊富な写真と共に紹介し、彼らがどのように生きているのかを理解できる内容になっています。また、カピバラにまつわる伝説や文化的背景も取り上げ、愛らしい存在をより深く知ることができます。,藤井 裕子,アカデミック出版,2022-06-07,3000,400,"9784567895432",http://vsv-peridot.skygroup.local/my-books/images/t9H1xS8cD4A5.jpg

タイトル: 「カピバラの森の冒険」
ジャンル: 絵本
あらすじ: 小さなカピバラのコロは、森の奥深くに隠された神秘の水源を見つけるための冒険に出ます。友達のリスやフクロウと共に、さまざまな動物たちと出会い、協力して困難を乗り越えます。勇気を出して未知の世界に飛び込むことで、コロは友情や自分の力を見つけていくのです。
表紙絵の表現: 表紙には、緑豊かな森の中を楽しそうに駆け回るカピバラのコロが描かれています。周りにはカラフルな動物たちが彼を見守り、笑顔を浮かべています。日差しが木々の隙間から差し込み、暖かい雰囲気を醸し出しており、見る人に冒険心をかき立てるデザインです。

タイトル: 「カピバラ探偵と消えた果物」
ジャンル: 推理小説
あらすじ: カピバラのコータは、果物が mysteriously 消えた事件を解決するため、名探偵としてのスキルを駆使します。村の動物たちから手がかりを集め、ユニークなアプローチで事件の真相に迫る中、思わぬ真実が明らかになっていきます。果たして、コータはこの謎を解き明かせるのか？
表紙絵の表現: 表紙には、探偵の帽子をかぶったカピバラのコータが、真剣な表情で足元に広がる果物の残骸を見つめています。背景には、色とりどりの果物が散らばり、村の景色が描かれています。ミステリアスな影や暗い色合いが、推理の緊張感を高めるデザインです。

タイトル: 「カピバラの足跡：南米の生態と文化」
ジャンル: 歴史
あらすじ: 本書では、カピバラの歴史を通じて南米の生態系や人々との関わりを探ります。古代の壁画や伝説、現代の保護活動までを網羅し、カピバラがいかにして人々に愛され、文化に影響を与えてきたのかを解説します。また、彼らの生態や習性についても詳しく述べ、自然との共生の大切さを考えます。
表紙絵の表現: 表紙には、古代の壁画が背景に広がり、その前に立つカピバラの姿が描かれています。様々な時代のカピバラと人間の交流がイラストで表現され、色調は歴史的な温かみを感じさせます。歴史の重みと自然とのつながりを感じさせるデザインです。

タイトル: 「カピバラ王国の秘密」
ジャンル: ファンタジー小説
あらすじ: カピバラたちが支配する王国では、平和な日々が続いていましたが、ある日、神秘の生き物が現れ、王国を脅かします。王女カピバラのリナは、王国を救うために勇者たちと共に冒険の旅に出ることを決意。様々な試練を乗り越え、仲間たちと絆を深めながら、王国の運命をかけた戦いに挑むのです。
