XbqkU9pT2a2x,ヒョウのミアと森の仲間たち,森の奥深くに住むヒョウのミアは、好奇心旺盛で冒険が大好き。ある日、友達の猿たちと一緒に、森の隠された秘密を探しに出かけます。途中で出会った様々な動物たちと協力しながら、困難を乗り越えていくミアの姿を描きます。友情や勇気の大切さを学ぶ心温まる物語です。,鈴木 陽介,新光社,2023-03-15,1500,180,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/XbqkU9pT2a2x.jpg
o9gK6Tn1zY4f,ヒョウの影,人気の動物園で、神秘的なヒョウが突然姿を消した。動物管理者のサラは、ヒョウが失踪した理由を探るため、動物たちと会話を試みる。彼女は徐々にヒョウの秘密に近づき、動物たちの協力を得ながら、背後に潜む陰謀を解き明かしていく。果たしてヒョウはどこに消えたのか？サスペンスが織り交ぜられた緊迫感ある物語。,中川 明美,未来出版,2021-12-05,2000,250,"9781234567891",http://vsv-peridot.skygroup.local/my-books/images/o9gK6Tn1zY4f.jpg
5zNu1FhKcYQm,ヒョウと人間の歴史,古代から現代までのヒョウと人間の関係を探る一冊。ヒョウが古代文明の神話に登場する様子や、狩猟対象としての歴史、そして文化に与えた影響などを詳細に解説。各時代ごとのヒョウに対する人間の認識の変化を、考古学的資料や伝説を交えて紹介し、ヒョウの生態や行動についても触れています。,佐藤 智恵,東京書籍,2024-07-20,3500,300,"9781234567892",http://vsv-peridot.skygroup.local/my-books/images/5zNu1FhKcYQm.jpg
m8HqG5FzVp4N,ヒョウの王国,魔法の世界に住むヒョウの王族、ラナは、自らの国を守るために冒険に出ます。王国が暗い魔物に襲われ、ヒョウたちの力を失いつつある中、ラナは古代の魔法を取り戻す旅に挑む。彼女は仲間たちと共に、様々な試練を乗り越え、運命を変える力を手に入れようと奮闘する物語。,山田 恵美,アーク出版,2022-09-15,2800,320,"9781234567893",http://vsv-peridot.skygroup.local/my-books/images/m8HqG5FzVp4N.jpg
6HwbY4zKqE8v,ヒョウの魔法使い,ある日、ヒョウの姿をした魔法使いが村に現れ、村人たちを助けるために不思議な力を使います。彼の正体は、古代の魔法によってヒョウに変わってしまった王子だった。村人たちは彼の魔法で幸せになるが、やがて彼の秘密が明らかになり、彼が直面する選択とは何か？魔法と人間の絆を描く物語です。,長井 和明,夢幻社,2019-11-28,2300,400,"9781234567894",http://vsv-peridot.skygroup.local/my-books/images/6HwbY4zKqE8v.jpg
g8fVp5H9qE3K,ヒョウの目撃者,自然保護区で発生した殺人事件。目撃者は、現場にいたヒョウの目だった。動物行動学者のケイは、そのヒョウが事件の鍵を握っていることに気づき、真相を探ることに。彼女はヒョウの行動を観察しながら、真実に迫るが、次第に恐ろしい陰謀に巻き込まれていく。,中村 大輔,ハーモニー出版,2020-05-30,2900,320,"9781234567895",http://vsv-peridot.skygroup.local/my-books/images/g8fVp5H9qE3K.jpg
k4T2vB8Wz5eX,ヒョウの名探偵,若き探偵のエリオットは、ヒョウに変身する能力を持つ不思議な少年です。彼は、街で起きる謎の事件を解決するために、ヒョウの姿を利用し、敏捷な動きで手がかりを探します。人間と動物の融合をテーマに、奇妙な事件の背後に隠された真実を明らかにする物語です。,鈴木 陽介,星辰社,2023-02-14,1800,250,"9781234567896",http://vsv-peridot.skygroup.local/my-books/images/k4T2vB8Wz5eX.jpg
W9nK3D2jG6sP,ヒョウの遺伝子,近未来の地球では、動物の遺伝子操作が進んでおり、ヒョウの遺伝子を持つ超能力を持つ人間が登場します。彼らは新たなヒーローとして人類を守るが、同時に過去の過ちを悔い、未来を変えるために戦う。技術の進化と倫理の葛藤が交差する物語が展開されます。,佐藤 陽介,未来出版,2021-08-25,3200,280,"9781234567897",http://vsv-peridot.skygroup.local/my-books/images/W9nK3D2jG6sP.jpg
C5jN8XzKq2W9,ヒョウと恋の舞台,森の中で一匹のヒョウと出会った若い女性、アヤ。彼女はヒョウに魅了され、彼との特別な絆を築きます。しかし、彼女はその関係が自然界の掟に反することに気づく。二人は、愛と運命の狭間で葛藤しながらも、お互いの存在がどれほど大切かを知っていく。ヒョウとの禁断の恋を描いた感動の物語。,長井 和明,ファンタジア書房,2018-06-10,2400,310,"9781234567898",http://vsv-peridot.skygroup.local/my-books/images/C5jN8XzKq2W9.jpg
H4gD1Y8kL7pQ,ヒョウの世界：生態と行動,ヒョウの生態や行動を詳しく解説した図鑑。彼らの狩猟方法、社会的な構造、そして環境に与える影響を多角的に探求。豊富な写真と共に、ヒョウの美しさや力強さを伝え、保護活動の重要性にも触れています。子どもから大人まで楽しめる内容で、ヒョウに関する知識を深める一冊です。,高橋 一郎,エコロジー社,2022-12-01,2900,350,"9781234567899",http://vsv-peridot.skygroup.local/my-books/images/H4gD1Y8kL7pQ.jpg

