3tXk7Ym4W5LR,シカの森の冒険,小さなシカのリリーは、森の中で様々な動物たちと友達になりながら、楽しい冒険を繰り広げます。ある日、リリーは森の奥に隠された秘密の場所を見つけ、他の動物たちと協力して新しい家を作る挑戦に挑みます。友情の大切さを学びながら成長する物語です。,佐藤 実,緑の出版社,2021-06-14,1500,220,"9784798361943",http://vsv-peridot.skygroup.local/my-books/images/3tXk7Ym4W5LR.jpg
H4gS9qK1vZpA,消えたシカの謎,地元の森でシカが次々と姿を消す事件が発生。若き探偵マコトは友人の動物たちと共に謎を解く決意をします。証拠を集めながらシカたちを救うため、驚くべき方法で犯人を追い詰めることができるのか。果たして真相は何なのか、緊迫した展開が繰り広げられます。,木村 洋介,森の探偵社,2020-09-03,1800,300,"9784832951780",http://vsv-peridot.skygroup.local/my-books/images/H4gS9qK1vZpA.jpg
B8lW2tYnQ4Hs,シカと古代人,シカは古代から人々にとって重要な存在でした。本書では古代人がシカをどのように狩猟し生活に活かしていたか、また神話や信仰におけるシカの役割についても詳しく解説しています。シカの生態や文化的な重要性について知識を深めることができる一冊です。,川村 直樹,古代文明出版,2015-03-29,2500,400,"9784571020196",http://vsv-peridot.skygroup.local/my-books/images/B8lW2tYnQ4Hs.jpg
J5uP6bXtN2rV,シカの王国,遥か遠い世界にシカが支配する神秘的な王国が存在していました。主人公の少年は、シカたちの王と共に邪悪な魔女と戦う運命に巻き込まれ、仲間と共に冒険を繰り広げながら自らの力を見つけ出します。彼の成長と友情が描かれ、ファンタジーの魅力が詰まった物語です。,佐々木 恵,ファンタジー出版,2023-01-10,2100,350,"9784821037012",http://vsv-peridot.skygroup.local/my-books/images/J5uP6bXtN2rV.jpg
P7iK4eMcT0oY,時を超えたシカ,若者のハルは不思議なシカと出会い、時空を超えた冒険に旅立ちます。古代や未来の世界で友情や勇気の大切さを学び、成長する物語です。彼はさまざまな時代のシカと出会い、それぞれの時代の教訓を学びながら自分自身の人生を見つめ直す旅を続けます。,山口 志保,未来幻想社,2019-07-17,1700,270,"9784690136820",http://vsv-peridot.skygroup.local/my-books/images/P7iK4eMcT0oY.jpg
F6dR9lQsY3Tu,森の中の密室,森の中で発見された死体を巡る密室事件。探偵ユウは周囲の動物たちと共に謎を解き明かし、次々と現れる疑惑と隠された真実に迫ります。彼らは真相に近づくにつれて、思わぬ敵と遭遇し、緊迫感のある展開が繰り広げられます。,小林 和明,探偵社ブレイン,2022-02-05,2200,320,"9784591048465",http://vsv-peridot.skygroup.local/my-books/images/F6dR9lQsY3Tu.jpg
Y2oL8pFrV1Xb,シカの殺人事件,地元の保護区で発見されたシカの死体。若い動物保護活動家アミは、真実を明らかにするために調査を開始し、シカたちを守るために奔走します。彼女は仲間と共に危険な状況に立ち向かいながら、環境問題の重要性も訴える感動的なストーリーが展開されます。,田中 明美,エコロジー出版,2018-11-23,2000,280,"9784738219705",http://vsv-peridot.skygroup.local/my-books/images/Y2oL8pFrV1Xb.jpg
K9mU5dNpW3Fx,未来のシカ,環境破壊が進む未来、遺伝子操作で生まれたシカたちが地球の生態系を復活させるために戦います。シカと人間の共存を目指し、科学者たちは試練に立ち向かいます。彼らの冒険は、未来を変えるための希望の物語として描かれています。,高橋 誠,テクノロジー出版,2024-04-15,2400,410,"9784807069320",http://vsv-peridot.skygroup.local/my-books/images/K9mU5dNpW3Fx.jpg
V4nZ3jTlR6Xk,シカと私の恋,自然保護区でボランティアをするリナは、シカとの特別な絆を結びます。人間の青年との関係も絡み合い、動物と人間の愛情の形を探る物語です。友情と愛情の狭間で彼女がどのように選択するのか、心温まる展開が待っています。,林 由紀,愛のストーリー社,2023-08-08,1900,240,"9784902085264",http://vsv-peridot.skygroup.local/my-books/images/V4nZ3jTlR6Xk.jpg
W1vF7yKrZ8Ct,シカの全て: 種類と生態,この図鑑では世界中のシカの種類や生態を紹介し、美しい写真と共に彼らの生息地、食性、社会構造を解説します。シカの保護活動にも触れ、重要性を伝えます。子どもから大人まで楽しめる内容になっており、教育的な価値も高い一冊です。,小川 智,知識の宝庫,2020-12-30,2700,480,"9784576139202",http://vsv-peridot.skygroup.local/my-books/images/W1vF7yKrZ8Ct.jpg

