e0d7e99c27c0,砂漠の旅人,小さなラクダのカメリアは、砂漠の中で家族と一緒に暮らしています。彼女は冒険心にあふれ、砂丘の向こうにある未知の世界を探索することを決意します。途中で出会う友達や試練を通じて、勇気や友情の大切さを学びながら成長する物語です。,高橋 陽子,カラフル出版社,2023-02-15,1500,120,"9784874551000",http://vsv-peridot.skygroup.local/my-books/images/e0d7e99c27c0.jpg
c7d2b57e04a1,砂漠の謎を追え,有名な探偵ラクダのリムが、砂漠で失踪した商人の事件を追う。彼は捜査中に、砂漠の中に隠された古代の遺跡とその秘密に気づく。仲間の動物たちと共に手がかりを集め、真実に迫る緊張感あふれるミステリーです。,"佐藤 隆,中村 結",風の書房,2021-08-20,2000,250,"9784874552000",http://vsv-peridot.skygroup.local/my-books/images/c7d2b57e04a1.jpg
0a64352b76e4,ラクダの歴史を辿る,ラクダの起源から現在に至るまでの歴史を詳しく解説した書籍です。古代エジプトやアラビアの文化におけるラクダの役割、そして砂漠での生存術や移動手段としての重要性を掘り下げています。歴史を知ることで、私たちの文化にどれほど深く根付いているかを理解できる一冊です。,佐々木 智子,歴史出版センター,2019-12-01,2800,350,"9784874553000",http://vsv-peridot.skygroup.local/my-books/images/0a64352b76e4.jpg
f4e50c31c2c2,砂の精霊とラクダの王,砂漠の真ん中にある神秘の村、サンドキャッスル。若きラクダの王が村を守るため、魔法の精霊と協力して闇の魔女に立ち向かいます。友情や魔法の力を駆使して、彼らはさまざまな困難を乗り越えていく様子が描かれています。心温まる冒険物語です。,遠藤 直樹,夢の書房,2020-06-10,1600,220,"9784874554000",http://vsv-peridot.skygroup.local/my-books/images/f4e50c31c2c2.jpg
48b59f418e8e,砂漠のバトルロイヤル,ラクダたちが砂漠の覇権をかけて戦う物語です。各種族の強さや知恵を駆使して勝者が新たな王となるこの激しい戦いの中で、友情や裏切りが絡み合います。最終的に本当に大切なものに気づく様子が描かれ、感動を呼ぶ作品です。,小林 志乃,冒険社,2022-09-12,2200,400,"9784874555000",http://vsv-peridot.skygroup.local/my-books/images/48b59f418e8e.jpg
344cf10e9191,ラクダの秘密,一つのラクダが、砂漠で見つかった貴族の遺品と関係があることがわかる。探偵がこの秘密を追い、古代の遺跡や伝説を辿りながら真相に迫る物語です。意外な展開が待ち受けるミステリーとして、多くの読者を惹きつける内容となっています。,"井上 誠,田中 美穂",オデッセイ出版,2024-03-29,1700,320,"9784874556000",http://vsv-peridot.skygroup.local/my-books/images/344cf10e9191.jpg
34bba2991d74,星のラクダと時空の旅,未来の砂漠で、特殊な能力を持つラクダが時空を超える冒険を繰り広げます。異なる時代や惑星を旅し、友達を救うための壮大な冒険が展開され、読者は非日常的な世界に引き込まれます。心躍るSFファンタジーです。,横山 達也,未来探求社,2023-11-05,2500,450,"9784874557000",http://vsv-peridot.skygroup.local/my-books/images/34bba2991d74.jpg
adbe9f993b6f,砂漠の恋物語,砂漠の村で育ったラクダの少年が、美しい旅人の少女と出会います。彼女との出会いを通じて、彼は自分自身の価値を見出し、真実の愛を探し求める旅に出る心温まる物語です。友情と恋の成長が描かれています。,松田 恵理,ロマン出版社,2022-01-15,1900,180,"9784874558000",http://vsv-peridot.skygroup.local/my-books/images/adbe9f993b6f.jpg
8b2f5f58e240,ラクダの大図鑑,ラクダに関する知識を網羅した図鑑で、種類、特徴、生活環境、そして人間との関わりについて詳しく解説しています。美しい写真やイラストが多数掲載されており、ラクダの魅力を伝える内容です。子供から大人まで楽しめる一冊です。,吉田 理恵,知識探求社,2021-04-22,2800,300,"9784874559000",http://vsv-peridot.skygroup.local/my-books/images/8b2f5f58e240.jpg
8b2f5f58e24F,ラクダの守護者,未来の砂漠で、ラクダが人間の遺伝子操作によって知能を持つ存在となり、彼らは人間と共に砂漠の環境問題に立ち向かいます。友情や協力の重要性を描いた物語であり、現代社会に対するメッセージも込められています。,"山本 隆司,加藤 明子",新時代出版,2020-07-30,2100,360,"9784874560000",http://vsv-peridot.skygroup.local/my-books/images/8b2f5f58e24F.jpg

タイトル: 「砂漠の旅人」
ジャンル: 絵本
あらすじ: 小さなラクダのカメリアは、砂漠の中で家族と一緒に暮らしています。彼女は冒険心にあふれ、砂丘の向こうにある未知の世界を探索することを決意します。途中で出会う友達や試練を通じて、勇気や友情の大切さを学びながら成長する物語です。
表紙絵の表現: 表紙には、明るい太陽の下で冒険に出発するラクダのカメリアの姿が描かれています。砂漠の金色の砂丘が広がり、青い空に浮かぶ雲が印象的です。カメリアの笑顔が子どもたちの心を引きつけ、明るく元気な雰囲気を演出しています。

タイトル: 「砂漠の謎を追え」
ジャンル: 推理小説
あらすじ: 有名な探偵ラクダのリムが、砂漠で失踪した商人の事件を追う。彼は捜査中に、砂漠の中に隠された古代の遺跡とその秘密に気づく。仲間の動物たちと共に手がかりを集め、真実に迫る緊張感あふれるミステリーです。
