8b6s6T9y9qP3,カルガモの冒険,小さなカルガモのカンナは、春の訪れとともに家族と共に湖にやってきました。彼女は新しい友達や楽しい冒険を求めて湖の周りを探索します。色とりどりの花や昆虫、他の水鳥たちと出会い、楽しい時間を過ごします。しかし、湖にはちょっとした危険も隠れています。果たして、カンナはどんな冒険を経て成長していくのでしょうか。,田中 あかり,虹出版社,2021-04-15,1500,120,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/8b6s6T9y9qP3.jpg
Gf5tK2y3vN6Q,カルガモの謎,ある静かな湖畔で、カルガモのミルクが行方不明になりました。親友の探偵カルガモ、グレイは、湖に住む他の動物たちに話を聞き、手がかりを探し始めます。果たして、ミルクの失踪の裏には、深い謎が隠されていたのです。グレイは事件を解決するために、少しずつ真実に近づいていきますが、驚きの展開が待ち受けています。,松井 涼太,月の道書房,2019-09-02,1200,250,"9784567890124",http://vsv-peridot.skygroup.local/my-books/images/Gf5tK2y3vN6Q.jpg
R2yT5zK4hY9p,カルガモの歴史を辿る,カルガモは日本の自然環境に深く根付いた鳥ですが、その歴史は知る人が少ない。本書では、古代から現代に至るまでのカルガモの生態、文化との関わり、そして保護の取り組みについて詳しく探求します。歴史的な資料や研究を基に、カルガモの変遷を振り返ることで、私たちが彼らを守るためにできることが明らかになります。,中村 海斗,青空出版,2015-11-20,2000,320,"9784567890125",http://vsv-peridot.skygroup.local/my-books/images/R2yT5zK4hY9p.jpg
D9jH6tR3nF2v,カルガモの魔法の羽,遥か遠い世界、魔法の湖には特別な羽を持つカルガモが住んでいます。彼らの羽は、湖に集う動物たちに不思議な力を与えるものでした。しかし、湖の平和が脅かされ、羽が奪われる事件が発生します。主人公のカルガモ、リリは、仲間たちと共に羽を取り戻すための旅に出ます。果たして、リリは無事に湖の平和を取り戻すことができるのか？,佐々木 朋美,星の風出版,2023-01-18,2500,450,"9784567890126",http://vsv-peridot.skygroup.local/my-books/images/D9jH6tR3nF2v.jpg
K3pL9xR6qH7v,カルガモと失われた王国,魅力的なカルガモの王国が、ある日、謎の魔物に襲われ、永遠に消えてしまったと伝えられています。しかし、若きカルガモのフラウは、王国の存在を信じ、友達のカメと共に探しに行くことを決意します。旅の途中で出会う仲間や試練を乗り越えながら、フラウは真実に迫り、王国の復活を目指します。,高橋 恵美,太陽出版,2022-08-30,2200,320,"9784567890127",http://vsv-peridot.skygroup.local/my-books/images/K3pL9xR6qH7v.jpg
9fJt6kX3nH8M,カルガモの秘密の庭,カルガモのシロは、古い庭に隠された謎の宝物を見つけることを決心します。しかし、庭には不可解な現象が続いており、シロは手がかりを追い求めることになります。友人たちと協力し、過去の出来事や秘密を解き明かす中で、シロは思わぬ真実に直面します。この庭に秘められた真実とは？,佐藤 正樹,文芸社,2020-03-11,1700,250,"9784567890128",http://vsv-peridot.skygroup.local/my-books/images/9fJt6kX3nH8M.jpg
y5Tq6P2h3Gf9,カルガモと失われた足跡,夏のある日、湖の周りでカルガモたちが行方不明になる事件が発生しました。優秀な探偵、ロッキーは、残された足跡から真相を探ることに。彼はカルガモの習性や周囲の環境を考慮し、事件の背後に潜む真実を探り始めます。果たして、ロッキーはカルガモたちを無事に見つけ出すことができるのか？,田村 智彦,風のささやき社,2018-07-05,1600,200,"9784567890129",http://vsv-peridot.skygroup.local/my-books/images/y5Tq6P2h3Gf9.jpg
D2tG4jX7qF3p,未来のカルガモ,未来の地球では、カルガモたちが人間の暮らしと共存する新たな社会が形成されつつありました。テクノロジーの進化により、彼らは驚くべき能力を持つようになります。しかし、進化とともに彼らの存在意義は問われ、環境問題も深刻化します。主人公のカルガモ、テクは、この未来社会で何が正しいのかを探る旅に出ます。,吉田 愛,未来創造出版,2024-03-14,2400,350,"9784567890130",http://vsv-peridot.skygroup.local/my-books/images/D2tG4jX7qF3p.jpg
9eJd5B8n3Wf6,カルガモの恋の物語,夏のある日、湖で出会ったカルガモのハルとリオは、一目で恋に落ちました。しかし、彼らの愛は周囲の環境や困難な状況によって試されます。愛を育む中で、仲間や家族との関係も大切にしながら、彼らは共に成長していきます。最終的に彼らの愛は、自然の中でどのように試され、強まっていくのでしょうか。,"佐藤 健一,山本 綾",若葉出版,2016-12-19,1900,280,"9784567890131",http://vsv-peridot.skygroup.local/my-books/images/9eJd5B8n3Wf6.jpg
8kN6qR2j9V8L,カルガモのすべて,この図鑑では、カルガモの生態や行動、習性、分布について詳しく解説しています。美しい写真と共に、カルガモがどのように生活し、環境に適応しているかを学ぶことができます。さらに、カルガモに関する伝承や文化的な意義についても紹介し、読者がより深くカルガモの世界を理解できるように構成されています。,小川 翔太,環境出版社,2023-05-22,2200,300,"9784567890132",http://vsv-peridot.skygroup.local/my-books/images/8kN6qR2j9V8L.jpg

