jx2j0Rmv8jX7,カメの旅する夢,小さなカメ、カメ太郎は、自分の殻を背負って世界を旅することに決めました。夢の中で出会った海の仲間たちと一緒に、様々な冒険を繰り広げます。美しい珊瑚礁や神秘的な海底洞窟を巡りながら、友情や勇気の大切さを学ぶ物語です。果たして、カメ太郎は無事に家に帰ることができるのでしょうか。,田中 結衣,青い海出版社,2023-06-15,1500,220,"9784567891234",http://vsv-peridot.skygroup.local/my-books/images/jx2j0Rmv8jX7.jpg
e3F1g5cU9Hk4,沈黙の証人,ある日、静かな湖に浮かぶ小島で殺人事件が発生。島に住む老カメが唯一の目撃者として浮上します。若き探偵、ミナは彼に話しかけ、事件の真相を追求しますが、カメの記憶は曖昧で、次第に他の動物たちの間にも疑念が生まれ、謎は深まります。果たしてミナは真実に辿り着けるのでしょうか。,佐藤 大輔,森林出版,1987-11-22,2000,320,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/e3F1g5cU9Hk4.jpg
jA5xP0q4V7nB,古代カメの秘密,紀元前の古代文明に生きたカメたちの歴史を探る旅。カメの遺跡や壁画を通じて、彼らの生活様式、文化、神話などを深く掘り下げ、古代の知恵と自然との共生について学ぶ内容です。カメの進化の過程も織り交ぜながら、魅力あふれる歴史を描きます。,村上 直樹,歴史探求社,2001-04-12,2500,400,"9789876543210",http://vsv-peridot.skygroup.local/my-books/images/jA5xP0q4V7nB.jpg
f8R2k3Bd6LmY,カメと空の王国,カメの王国は、空の上に浮かぶ美しい島々で構成されています。若いカメ、コロは特別な翼を持って空を飛ぶ夢を抱いています。彼は失われた王国を救うための冒険に出発し、仲間たちと共に魔法の力を持つ宝物を求めて様々な試練に挑みます。果たして彼は王国を救えるのか。,鈴木 和子,空想社,2019-08-30,1800,300,"9786543210987",http://vsv-peridot.skygroup.local/my-books/images/f8R2k3Bd6LmY.jpg
Q8rC3gZt5XwR,カメの伝説,大海原に生きるカメの祖先は、かつて海を守る神として崇められていました。しかし、神の力が失われ、海は危機に瀕しています。若きカメ、セリは、失われた力を取り戻すための旅に出ることに決めました。古代の神殿や精霊たちとの出会いを通じて、セリは自身の運命を知り、成長していく物語が描かれます。,藤井 美咲,ファンタジー出版,2020-12-05,2200,350,"9783216549876",http://vsv-peridot.skygroup.local/my-books/images/Q8rC3gZt5XwR.jpg
s2J7h9qB0CwV,カメと隠された真実,環境保護活動家のカメ、ハルは、海岸で見つけた不審な漂流物から事件の匂いを感じ取ります。調査を進めるうちに、隠された真実や巨大な陰謀が明らかになり、彼は仲間たちと共に解決に乗り出します。果たして、彼らは無事に真実を明かせるのでしょうか。友情と勇気の物語が繰り広げられます。,渡辺 誠,緑の地球社,2022-02-14,1700,280,"9784561237890",http://vsv-peridot.skygroup.local/my-books/images/s2J7h9qB0CwV.jpg
D3F8h4Pj9YgR,時間を超えるカメ,科学者たちは、カメの遺伝子に潜む時空間移動の秘密を発見します。特別なカメ、タメは過去と未来を行き来する冒険に挑むことになります。タメは歴史の重要な瞬間に立ち会い、未来の知識を得て、様々な困難を乗り越える姿が描かれたSFファンタジーです。,山本 陽介,未来文庫,2021-09-18,2100,360,"9787894561234",http://vsv-peridot.skygroup.local/my-books/images/D3F8h4Pj9YgR.jpg
K4y8r0fU6M1c,カメと恋のマジック,自然保護団体の活動をするカメの女性、ナナは、野生動物保護を巡るイベントで出会った動物学者、ユウに心を奪われます。二人はカメを通じて意気投合し、自然を守るための情熱を分かち合います。しかし、彼らの間には過去の秘密が影を落とし、愛が試されます。果たして、真実の愛を見つけられるのでしょうか。,高橋 健,エコロジー出版,2015-03-29,1950,250,"9782345678901",http://vsv-peridot.skygroup.local/my-books/images/K4y8r0fU6M1c.jpg
v1N4x5cL3D9H,カメの百科事典,カメの種類や特徴、生態系について詳しく解説した図鑑です。世界中のカメの写真やイラスト、分布マップを豊富に掲載し、読者がカメについての知識を深められるよう工夫されています。生態系における役割や、カメを守るための取り組みについても紹介し、学びながら楽しむことができる内容です。,西村 誠,知識探求社,2018-11-05,3000,450,"9783216540987",http://vsv-peridot.skygroup.local/my-books/images/v1N4x5cL3D9H.jpg
N8q3J5dV2Z1t,カメの歌が聞こえる,小さなカメ、リリは浜辺で不思議な歌声を耳にします。その歌声の主は、海の精霊でした。リリは精霊と共に歌の力で海を守る冒険に出かけ、仲間たちとともに様々な試練を乗り越えます。友達との絆や自然の大切さを描いた心温まる物語が展開されます。,村田 忍,海の物語社,2024-01-10,1700,220,"9786541237891",http://vsv-peridot.skygroup.local/my-books/images/N8q3J5dV2Z1t.jpg

