8fG7tX9aQK3x,ゴリラのジャングル探検隊,主人公の小さなゴリラ、トトは、勇気を出してジャングルの外の世界を探検することを決意する。友達の小鳥と一緒に冒険の旅に出る中で、トトはさまざまな動物たちに出会い、それぞれの知恵を学びながら成長していく。最後には、自分の家族や仲間の大切さに気づき、冒険を終えてジャングルに戻るトトの姿が描かれている、心温まるストーリー。,斉藤 環,青空出版社,2021-06-15,1500,120,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/8fG7tX9aQK3x.jpg
4rT2sQzE7W1l,ゴリラが見た真実,小さな動物園で起こった謎の殺人事件。唯一の目撃者は、人間の言葉を理解し、絵を描くことができるゴリラのロボ。しかし、ロボは絵で事件を表現するものの、それが何を意味するのか警察には解けなかった。動物心理学者のユウコは、ロボの絵を手がかりに真相を探るため、事件に挑む。,"田村 美月,鈴木 健二",緑の森出版,2018-03-02,2400,280,"9781234567891",http://vsv-peridot.skygroup.local/my-books/images/4rT2sQzE7W1l.jpg
a1P3yKzB6F9q,ゴリラの王国と人間の歴史,この書籍では、ゴリラと人間の関係を辿りながら、ゴリラがどのように進化し、文化や宗教、歴史に影響を与えてきたのかを解説。古代のゴリラ崇拝や、ゴリラと人間の共存を描く未発見の古代文明の痕跡、近代のゴリラ研究の歴史などを網羅し、ゴリラが人類史に与えた影響を探求する。,安藤 智樹,未来文庫,2023-11-05,3000,500,"9781234567892",http://vsv-peridot.skygroup.local/my-books/images/a1P3yKzB6F9q.jpg
Tg9B2xPfQ7a1,ゴリラ王国の秘密,遠い昔、ジャングルの奥深くにゴリラたちが支配する神秘的な王国が存在した。人間がその場所に足を踏み入れたことは一度もなく、全ては伝説として語り継がれてきた。しかし、若き冒険家アレックスはその王国を探し求めて旅に出る。彼がゴリラ王国にたどり着いたとき、待ち受けていたのは古代の魔法と運命の選択だった。,山本 光司,星海出版,2020-01-10,1800,350,"9781234567893",http://vsv-peridot.skygroup.local/my-books/images/Tg9B2xPfQ7a1.jpg
Z3nC9gHyL8u2,ゴリラと魔法の森,ある日、孤児の少女エマは、不思議なゴリラと出会う。彼は魔法の森の守護者であり、森に住む動物たちを守っていた。エマはゴリラと共に、森に潜む邪悪な魔女と戦うことを決意する。魔法の森を守るための冒険の中で、エマは友情や勇気の大切さを学び、自らの運命と向き合うことになる。,小川 美恵,実業之日本社,2019-07-25,1600,220,"9781234567894",http://vsv-peridot.skygroup.local/my-books/images/Z3nC9gHyL8u2.jpg
H7q3vNj8K2R4,ゴリラに囁く影,地元の動物園で謎の失踪事件が相次ぎ、園内のスタッフが次々と姿を消していく。犯人が残した手がかりは、ゴリラの檻の中に置かれた奇妙なメモだけだった。捜査に乗り出した刑事は、ゴリラの行動に不可解な点が多いことに気づき、事件は動物園の裏に隠された秘密に繋がっていく。,中村 太志,金星出版,2022-05-30,2000,300,"9781234567895",http://vsv-peridot.skygroup.local/my-books/images/H7q3vNj8K2R4.jpg
Xf4J5zMkP6V7,ゴリラ島の迷宮,孤島にあるゴリラ保護区で行われていた極秘プロジェクト。そこではゴリラたちが不自然に知能を高められ、人類の脅威となり始めていた。ある日、島内の科学者が次々に姿を消し、残されたのは彼らが作り出した迷宮の設計図だけだった。,伊藤 直樹,未来研究所,2023-03-14,2500,400,"9781234567896",http://vsv-peridot.skygroup.local/my-books/images/Xf4J5zMkP6V7.jpg
y9B1pW8kJ5F3,星空の下のゴリラ,未来の地球では、ゴリラが高い知能を持つ生物として人類と共存する世界が訪れた。ゴリラたちは宇宙開発に貢献し、その中でも特に知恵深いゴリラ、カイは火星探索のプロジェクトに参加することになる。しかし、火星に到着したカイは、人類が気づかなかった宇宙の秘密を知ってしまう。,香取 美奈子,松風出版,2024-02-01,3200,450,"9781234567897",http://vsv-peridot.skygroup.local/my-books/images/y9B1pW8kJ5F3.jpg
Vg2F4xLwS9H6,ゴリラのため息,動物行動学者のアキラは、保護区で一頭のゴリラ、リオに強く惹かれていた。しかし、アキラが思いを寄せていたのは、ゴリラを介して親しくなった飼育員のユリだった。リオが示す奇妙な行動が2人の恋に影響を与え始める。,桜井 裕介,秋桜出版,2021-08-23,2200,270,"9781234567898",http://vsv-peridot.skygroup.local/my-books/images/Vg2F4xLwS9H6.jpg
Nk3M7hLpY8T0,ゴリラ百科全書,ゴリラの生態や習性、進化の歴史、そして世界中に存在するゴリラ保護区の取り組みまでを網羅した、ゴリラに関する総合的な図鑑。ゴリラの生態学、社会行動、知能、文化的背景を学ぶことができる。,長谷川 博,未来知識社,2019-12-05,2800,500,"9781234567899",http://vsv-peridot.skygroup.local/my-books/images/Nk3M7hLpY8T0.jpg

タイトル: 「ゴリラのジャングル探検隊」
ジャンル: 絵本
