sT3b9hQ1Rm8p,ジャガーとちいさなぼうや,ジャングルの奥深くで迷子になった小さな男の子、アレックスは、一匹のジャガーと出会います。怖がるアレックスでしたが、ジャガーは優しく彼を見守り、家に帰るための冒険を一緒に始めます。二人の絆が深まる中、アレックスは自分自身の強さと勇気を見つけていくお話です。心温まる物語で、家族の大切さや友情の力を感じることができます。,山下 美咲,アーク出版,2022-03-15,1200,150,"9784567891234",http://vsv-peridot.skygroup.local/my-books/images/sT3b9hQ1Rm8p.jpg
Jk4l2tR9Qm5y,ジャガーの影,南米の大都市で連続して発生する奇妙な事件。現場にはいつもジャガーの爪痕が残されています。事件を追う刑事アナ・グティエレスは、動物が関与しているとは思えない不可解な証拠に戸惑いながらも、真実に迫っていく。しかし、事件の背後には人間の狂気が潜んでおり、ジャガーの影は次第にアナ自身に迫ってくる。彼女の知恵と勇気が試される瞬間が続き、緊迫感あふれるストーリーが展開されます。,西村 陽介,三角出版,2021-08-02,1500,280,"9784567892345",http://vsv-peridot.skygroup.local/my-books/images/Jk4l2tR9Qm5y.jpg
xD7h3gA6Tf2s,古代文明とジャガーの神秘,古代メソアメリカ文明において、ジャガーは神聖な存在として崇められてきました。本書は、オルメカ、マヤ、アステカといった文明の中で、ジャガーがどのように神話や儀式、文化に影響を与えてきたかを解説します。彫像や壁画に残るジャガーの姿を通して、古代人の信仰と恐れが浮き彫りになります。ジャガーを巡る神秘的な物語と、彼らの信仰体系がいかに人々の生活に影響を与えたかを知ることができる一冊です。,竹内 健二,歴史探求社,2020-05-10,2000,400,"9784567893456",http://vsv-peridot.skygroup.local/my-books/images/xD7h3gA6Tf2s.jpg
Wm2z9dJ5Kb8e,ジャガーの守り手,大陸を二分する戦争が続く世界で、伝説のジャガーの力を操ることができる少女、マヤは、一族の最後の生き残りとして、ジャガーとともに運命を背負います。彼女は戦争の行方を左右する力を持ちながらも、敵に追われながらも仲間と共に平和を取り戻すための旅に出る。彼女の心に秘められたジャガーの力が、世界の未来を変える鍵となる。友情と勇気が描かれた感動的な冒険譚です。,鈴木 一郎,加賀書房,2023-11-21,1800,350,"9784567894567",http://vsv-peridot.skygroup.local/my-books/images/Wm2z9dJ5Kb8e.jpg
Hj6n1qC7Zx9y,ジャガーの鏡,忘れられた王国の深部に隠された「ジャガーの鏡」。その鏡は未来と過去を映し出し、持ち主に莫大な力を与えるとされています。しかし、鏡を手に入れた者は狂気に陥り、その運命は破滅に向かいます。若き冒険者リーアムは、王国の再建のために鏡を手に入れますが、次第にその力に飲み込まれそうになります。果たしてリーアムは鏡の呪いを断ち切ることができるのか、緊迫した運命が彼を待ち受けています。,佐藤 健太,藤原文庫,2019-07-14,2100,300,"9784567895678",http://vsv-peridot.skygroup.local/my-books/images/Hj6n1qC7Zx9y.jpg
dS5k3uL1Fq2j,ジャガーの囁き,ジャガーを崇拝する密教集団に関わる一連の殺人事件が発生。探偵レイモンドは、被害者が残した「ジャガーの囁き」という謎の言葉に導かれ、事件の真相を追います。集団の秘密とその背後に潜む狂気が次第に明らかになります。レイモンドは追い詰められながらも、最後の鍵を握るジャガー像の前に立つ。彼は真実を解き明かすことができるのか、興奮のサスペンスが展開されます。,"村上 次郎,高橋 美奈",新時代社,2021-12-05,1700,250,"9784567896789",http://vsv-peridot.skygroup.local/my-books/images/dS5k3uL1Fq2j.jpg
zG2j9mQ8Rw6s,密林のジャガー,南米の密林で、伝説のジャガーに関わる遺跡調査が行われていた。しかし、その調査チームが次々と姿を消すという事件が発生。現地の人々はジャガーの呪いだと囁くが、調査員の一人であるエミリーは真相を究明しようと決意します。密林の奥で待ち受ける恐怖とは何か、ジャガーの足跡が導く先には驚くべき真実が隠されていました。サスペンスと冒険が織り交ざった物語です。,久保田 明,エコロジー出版,2018-02-19,1600,290,"9784567897890",http://vsv-peridot.skygroup.local/my-books/images/zG2j9mQ8Rw6s.jpg
xB4f7hK9Qm1e,ジャガー・コネクション,未来の地球、動物とのテレパシー能力を持つエリート部隊「コネクターズ」の中で、ジャガーとの強い絆を持つリーダー、カイが登場します。彼はジャガーの感覚を通じて敵の動きを察知し、危機を回避しますが、ある日、自らの能力に異常を感じ始めます。次第に明らかになる陰謀、そしてジャガーの意思とは。未来をかけた戦いが始まります。驚きの展開と共に繰り広げられる冒険が魅力的です。,田中 優,未来探求社,2024-04-10,2200,420,"9784567898901",http://vsv-peridot.skygroup.local/my-books/images/xB4f7hK9Qm1e.jpg
kA8w5fE3Xn9h,ジャガーの森で君と,環境保護活動家のエリナは、南米のジャガー保護区で調査を行っています。そこで出会った孤独な生物学者のリカルド。最初は衝突しながらも、ジャガーの保護活動を通じて互いの心を少しずつ開いていきます。しかし、リカルドの抱える過去が二人の関係に影を落とし始め、エリナは葛藤します。二人が選ぶ未来とは、そしてジャガーがもたらす運命の結末はどうなるのでしょうか。感動のラブストーリーが展開されます。,鈴木 美香,山川書店,2020-09-18,1900,360,"9784567899012",http://vsv-peridot.skygroup.local/my-books/images/kA8w5fE3Xn9h.jpg
zC9k4mN5Aq7p,ジャガーのすべて：生態と進化,ジャガーの進化の歴史から、現代に至るまでの生態と保護活動について詳しく解説した本。彼らの生息地、狩りの方法、社会的行動、さらには環境変化にどう適応してきたのかが紹介されています。また、現代における保護活動の重要性や、絶滅の危機に瀕する状況に焦点を当て、持続可能な共存への道を示唆しています。豊富な写真とデータを通じて、ジャガーの魅力を余すところなく伝えます。,青山 健,ワイルドブック社,2022-05-30,1800,320,"9784561237890",http://vsv-peridot.skygroup.local/my-books/images/zC9k4mN5Aq7p.jpg

タイトル: 「ジャガーとちいさなぼうや」
ジャンル: 絵本
あらすじ: ジャングルの奥深くで迷子になった小さな男の子、アレックスは、一匹のジャガーと出会います。怖がるアレックスでしたが、ジャガーは優しく彼を見守り、家に帰るための冒険を一緒に始めます。二人の絆が深まる中、アレックスは自分自身の強さと勇気を見つけていくお話です。
表紙絵の表現: 夜のジャングル、満天の星空の下、ジャガーがアレックスの隣を歩いています。アレックスはジャガーの背中に手を置き、安心した表情を浮かべています。月明かりが二人を優しく照らし、周囲の木々は静かに見守っているかのように描かれています。

タイトル: 「ジャガーの影」
ジャンル: 推理小説
あらすじ: 南米の大都市で、連続して発生する奇妙な事件。現場にはいつもジャガーの爪痕が残されている。事件を追う刑事アナ・グティエレスは、動物が関与しているとは思えない不可解な証拠に戸惑いながらも、真実に迫っていく。しかし、事件の背後には人間の狂気が潜んでおり、ジャガーの影は次第にアナ自身に迫ってくる。
表紙絵の表現: 暗い路地にうっすらと浮かび上がるジャガーのシルエットが、ミステリアスな雰囲気を漂わせています。ジャガーの目が鋭く光り、その背後にかすかに見える都市の街並みが不安を掻き立てるデザインです。

タイトル: 「古代文明とジャガーの神秘」
ジャンル: 歴史
あらすじ: 古代メソアメリカ文明において、ジャガーは神聖な存在として崇められてきました。本書は、オルメカ、マヤ、アステカといった文明の中で、ジャガーがどのように神話や儀式、文化に影響を与えてきたかを解説します。彫像や壁画に残るジャガーの姿を通して、古代人の信仰と恐れが浮き彫りになります。
表紙絵の表現: 神殿の頂上に佇むジャガーの彫像が、古代の神秘を感じさせます。背景にはジャングルの木々が広がり、遠くに沈む夕陽が空をオレンジ色に染めています。古代文明の遺跡の力強さが感じられる表紙です。

タイトル: 「ジャガーの守り手」
ジャンル: ファンタジー小説
あらすじ: 大陸を二分する戦争が続く世界で、伝説のジャガーの力を操ることができる少女、マヤは、一族の最後の生き残りとして、ジャガーとともに運命を背負うことになります。戦争の行方を左右する力を持つマヤは、敵に追われながらも、仲間と共に平和を取り戻すための旅に出る。彼女の心に秘められたジャガーの力が、世界の未来を変える鍵となる。
表紙絵の表現: 暗い森の中で、ジャガーの目が輝き、その隣に立つ少女が力強い眼差しで前を見つめています。背後には燃えるような空と大地が広がり、二人の運命の重さが描かれたダイナミックなデザインです。

タイトル: 「ジャガーの鏡」
ジャンル: ファンタジー小説
あらすじ: 忘れられた王国の深部に隠された「ジャガーの鏡」。その鏡は未来と過去を映し出し、持ち主に莫大な力を与えるという。しかし、鏡を手に入れた者は狂気に陥り、その運命は破滅に向かう。若き冒険者リーアムは、王国の再建のために鏡を手に入れるが、次第にその力に飲み込まれそうになる。果たしてリーアムは、鏡の呪いを断ち切ることができるのか。
表紙絵の表現: 古びた石の部屋に浮かぶ鏡に映るジャガーの顔が、リーアムを鋭く見つめています。鏡の前に立つ彼の手が震えており、周囲には崩れかけた王国の残骸が広がっています。緊張感と神秘性が漂うデザインです。

タイトル: 「ジャガーの囁き」
ジャンル: ミステリー小説
あらすじ: ジャガーを崇拝する密教集団に関わる一連の殺人事件が発生。探偵レイモンドは、被害者が残した「ジャガーの囁き」という謎の言葉に導かれ、事件の真相を追います。次第に明らかになる集団の秘密、そしてその背後に潜む狂気。レイモンドは追い詰められながらも、最後の鍵を握るジャガー像の前に立ちます。
表紙絵の表現: 古代のジャガー像が闇の中に浮かび上がり、その下にうずくまるレイモンドが描かれています。像の目は赤く光り、背後に広がる暗闇が不気味な雰囲気を演出しています。

タイトル: 「密林のジャガー」
ジャンル: ミステリー小説
あらすじ: 南米の密林で、伝説のジャガーに関わる遺跡調査が行われていた。しかし、その調査チームが次々と姿を消すという事件が発生。現地の人々はジャガーの呪いだと囁くが、調査員の一人であるエミリーは真相を究明しようと決意。密林の奥で待ち受ける恐怖とは何か。ジャガーの足跡が導く先には、驚くべき真実が隠されていた。
表紙絵の表現: ジャングルの中に古びた遺跡が描かれ、その中央には鋭い目をしたジャガーが描かれています。遺跡の入り口は暗く、そこに向かって進むエミリーの姿がシルエットで描かれており、ミステリーの雰囲気が漂います。

タイトル: 「ジャガー・コネクション」
ジャンル: SF小説
あらすじ: 未来の地球、動物とのテレパシー能力を持つエリート部隊「コネクターズ」の中で、ジャガーとの強い絆を持つリーダー、カイが登場する。彼はジャガーの感覚を通じて敵の動きを察知し、危機を回避していたが、ある日、自らの能力に異常を感じ始める。次第に明らかになる陰謀、そしてジャガーの意思とは。未来をかけた戦いが始まる。
表紙絵の表現: 未来都市の夜景をバックに、カイとジャガーがシンクロするように描かれています。ジャガーの目が輝き、カイの目も同じ色に光っています。背後には飛び交うドローンとネオンの光が未来的な雰囲気を強ます。

タイトル: 「ジャガーの森で君と」
ジャンル: 恋愛小説
あらすじ: 環境保護活動家のエリナは、南米のジャガー保護区で調査を行っていた。そこで出会ったのは、孤独な生物学者のリカルド。最初は衝突しながらも、ジャガーの保護活動を通じて互いの心を少しずつ開いていく。しかし、リカルドの抱える過去が二人の関係に影を落とし始め、エリナは葛藤する。二人が選ぶ未来とは、そしてジャガーがもたらす運命の結末は？
表紙絵の表現: 青々と茂るジャングルの中で、エリナとリカルドが寄り添う姿が描かれています。背景には、木々の間を自由に駆けるジャガーが描かれ、その優雅な姿が二人の関係を象徴しています。夕日が森をオレンジ色に染め、温かくも切ない雰囲気を演出しています。

タイトル: 「ジャガーのすべて：生態と進化」
ジャンル: 図鑑
あらすじ: ジャガーの進化の歴史から、現代に至るまでの生態と保護活動について詳しく解説した本。彼らの生息地、狩りの方法、社会的行動、さらには環境変化にどう適応してきたのかが紹介されています。また、現代における保護活動の重要性や、絶滅の危機に瀕する状況に焦点を当て、持続可能な共存への道を示唆しています。豊富な写真とデータを通じて、ジャガーの魅力を余すところなく伝えます。
表紙絵の表現: ジャガーの鋭い目がクローズアップで描かれ、その目に映る熱帯雨林が象徴的に表現されています。ジャガーのしなやかな姿が背景に溶け込み、自然との一体感が強調されたデザイン。色彩豊かな動植物のイラストが、ページの中で織りなす自然の豊かさを暗示しています。
