t3Hd8cZo39zU,ビーバーのダム作り大冒険,小さなビーバー、ビビは、家族のために大きなダムを作ることを決心します。友達の動物たちと協力しながら、木を切り倒したり、石を運んだりする中で、困難や楽しい出来事に出会います。ビビは、自分の力で家族を守るための大切なことを学びます。最後に、素敵なダムが完成し、家族みんなが笑顔になるお話です。,林 奈々,星の出版社,2023-05-17,1500,120,"9784567321095",http://vsv-peridot.skygroup.local/my-books/images/t3Hd8cZo39zU.jpg
8fF4kqR1h9dJ,ビーバーの秘密の巣,森の中でビーバーが突然姿を消した。探偵のハリーは、彼の行方を追うことに。ビーバーのダムには、何か重要な秘密が隠されている。地元の動物たちと協力し、手がかりを集めるうちに、謎はますます深まる。果たして、ビーバーはどこへ消えたのか？そして、彼が隠していた真実とは？,田中 直樹,風の書房,2021-08-29,2000,180,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/8fF4kqR1h9dJ.jpg
M5nYr4F8aZqL,ビーバーの歴史: 自然界のエンジニア,ビーバーは自然界で最も重要なエンジニアの一種です。この本では、ビーバーの進化の歴史、生活環境、そして彼らが生態系に与える影響を詳細に解説します。古代から現在に至るまで、ビーバーの生態と人類との関係を探求し、彼らの重要性を理解することができる一冊です。,佐藤 健介,未来社,2015-12-12,2500,300,"9789999999999",http://vsv-peridot.skygroup.local/my-books/images/M5nYr4F8aZqL.jpg
Z2g9Rf6sDk4a,ビーバーの魔法の森,魔法の森に住むビーバーたちは、特別な力を持っています。ある日、森に暗い影が迫り、ビーバーの家族が危険にさらされます。ビーバーの少年、リオは仲間と共に、魔法の力を使って森を守るための冒険に出ます。友情、勇気、そして魔法の力が試される物語が展開します。,山本 美咲,太陽の出版,2020-03-04,1700,250,"9784321098765",http://vsv-peridot.skygroup.local/my-books/images/Z2g9Rf6sDk4a.jpg
jN6p2C7tZfY1,ビーバー王国の冒険,ビーバーたちが築いた美しい王国が、邪悪な魔女によって脅かされています。若きビーバーのアーサーは、仲間たちと共に魔女を打倒し、王国を救うための旅に出ます。途中、さまざまな仲間と出会い、試練を乗り越えながら、真の勇気を見つけるアドベンチャーが繰り広げられます。,藤井 大輔,月の出版,2022-11-15,2100,350,"9788765432109",http://vsv-peridot.skygroup.local/my-books/images/jN6p2C7tZfY1.jpg
TgJ5p9L1vB2u,ビーバーと消えたダム,ビーバーの村で、誰かがダムを壊してしまう事件が発生。村の住民たちは不安に駆られ、ビーバーの探偵、マックスに事件解決を依頼します。彼は仲間の動物たちと共に手がかりを追い、事件の背後に隠された真実を解き明かしていきます。果たして、真犯人は誰なのか？,長谷川 志保,風の書房,2018-01-22,1600,140,"9785432167890",http://vsv-peridot.skygroup.local/my-books/images/TgJ5p9L1vB2u.jpg
6Fv0Hk3N9yT5,ビーバーの陰謀,ビーバーの村で起こる連続失踪事件。村人たちは恐れを抱き、ビーバーのカリスマ的リーダー、トムに助けを求めます。トムは事件を解決するために、村の歴史や古い伝説を掘り起こし、次第に真相に近づいていく。だが、真実は思いもよらない結末を迎えることに。,鈴木 一郎,星の出版社,2024-07-30,1900,210,"9786543210987",http://vsv-peridot.skygroup.local/my-books/images/6Fv0Hk3N9yT5.jpg
sX2zG4bJ8qT6,未来のビーバー,未来の地球では、ビーバーが進化し、人工知能を持った新しい種が誕生しました。彼らはダムの建設だけでなく、環境保護活動にも力を入れています。しかし、資源の争奪戦が勃発し、ビーバーたちは新たな危機に直面します。彼らは自らの知恵とテクノロジーを駆使して、未来を切り開くための戦いを挑むことになります。,佐々木 亜紀,未来社,2022-03-05,2300,420,"9781112223334",http://vsv-peridot.skygroup.local/my-books/images/sX2zG4bJ8qT6.jpg
Q9g2N5eA3vB8,ビーバーと水辺の恋,ビーバーのアリスは、森で出会ったオスビーバーのボブに心を奪われます。しかし、彼はダムの建設を巡る競争に巻き込まれ、アリスは彼を支えたいと願うものの、彼の決意が試される瞬間に直面します。愛と責任、夢の狭間で揺れるアリスとボブは、共に新たな未来を築くことができるのか、心温まるラブストーリーが描かれます。,長田 昇,青い鳥書房,2023-09-12,1800,250,"9783216549870",http://vsv-peridot.skygroup.local/my-books/images/Q9g2N5eA3vB8.jpg
vW2sD5aF9zT1,ビーバーのすべて：生態と行動,この図鑑では、ビーバーの生態、生活環境、行動パターンについて詳しく解説します。ビーバーの特異な体の構造、食性、社会構造など、科学的な視点から理解を深めることができます。美しい写真と共に、ビーバーの魅力を存分に紹介し、自然保護の重要性についても触れています。読者はビーバーの世界を知ることで、彼らの生態系への影響を考える機会を得られるでしょう。,中村 英樹,図鑑出版,2020-10-01,2000,400,"9781357908642",http://vsv-peridot.skygroup.local/my-books/images/vW2sD5aF9zT1.jpg

