t0A9fDkLxM3j,コウノトリのおくりもの,小さな村に住む子どもたちは、コウノトリが運んでくる不思議な贈り物を毎年楽しみにしています。ある年、贈り物が届かなくなってしまい、村は大騒ぎに。主人公のリオとその友達は、コウノトリを探しに冒険へと旅立ちます。コウノトリの巣にたどり着いたリオたちは、思わぬ真実と大切な教えを学ぶことに。,松本 美香,朝陽出版,2020-05-15,1500,240,"9784567891234",http://vsv-peridot.skygroup.local/my-books/images/t0A9fDkLxM3j.jpg
B5gQ9E1xF2Zk,白い翼の影,大都市の高層ビルから、謎の失踪事件が相次いで発生。被害者の共通点は、失踪前に目撃された「白い翼を持つ生き物」。ジャーナリストの美和は、この不可解な事件を追う中で、コウノトリの姿をした彫刻が隠されたメッセージを持つことに気づく。,"田中 健,鈴木 明美",光彩出版,2018-12-01,2000,320,"9784567891235",http://vsv-peridot.skygroup.local/my-books/images/B5gQ9E1xF2Zk.jpg
H3N1yB0pX7Gs,日本とコウノトリの共生史,日本におけるコウノトリの歴史は、環境保護と人間の共生の物語です。江戸時代から現代に至るまで、コウノトリは絶滅の危機に瀕しながらも、人々の努力によって再び空を舞うようになりました。,山田 一郎,未来書房,2015-03-10,1800,350,"9784567891236",http://vsv-peridot.skygroup.local/my-books/images/H3N1yB0pX7Gs.jpg
K9D7fLxP2B4s,空の鍵を持つ鳥,主人公の少年ユウは、伝説の「空の鍵」を持つコウノトリと出会う。鍵は天空の城へと続く門を開く力を持ち、そこにはかつて失われた魔法の王国が眠っているという。ユウは仲間たちと共に、天空の城を目指し旅に出る。,佐藤 陽子,青空文庫,2021-09-08,1600,290,"9784567891237",http://vsv-peridot.skygroup.local/my-books/images/K9D7fLxP2B4s.jpg
J2mW8D5nV9Bk,失われた翼の国,世界にはかつて、コウノトリが守る「翼の国」が存在した。だが、ある時突然その国は姿を消し、人々はその記憶さえも失ってしまった。主人公のカエデは、古代の遺跡で翼の国に関する手がかりを発見し、謎のコウノトリに導かれて冒険の旅に出る。,"山口 真理,鈴木 健",希望社,2023-01-20,2200,450,"9784567891238",http://vsv-peridot.skygroup.local/my-books/images/J2mW8D5nV9Bk.jpg
F0X3rQ4zL7Nt,コウノトリの羽音,田舎の村で発見された謎の死体。そのそばには一羽のコウノトリが羽を広げて佇んでいた。事件の謎を追う刑事・草薙は、次々と現れる手がかりに導かれ、村の古い伝承に隠された恐るべき真実に迫る。,高橋 涼子,星辰出版,2019-07-25,2400,310,"9784567891239",http://vsv-peridot.skygroup.local/my-books/images/F0X3rQ4zL7Nt.jpg
V3qL7H5wP8Df,白い翼の代償,高名な鳥類学者が自宅で謎の死を遂げ、彼の研究室には大量のコウノトリの羽が散乱していた。捜査に乗り出した刑事・片山は、彼の死の背後に隠された闇と、ある実験の秘密に気づく。,"小林 直樹",未来社,2022-06-13,3000,370,"9784567891240",http://vsv-peridot.skygroup.local/my-books/images/V3qL7H5wP8Df.jpg
Q1yG9K2zL5Xr,宇宙を旅するコウノトリ,未来の地球では、コウノトリは絶滅危機に瀕していた。しかし、宇宙探査船「ホワイト・ストーク号」のクルーは、地球外の惑星にコウノトリの姿を発見する。彼らは惑星間を行き来し、古代の謎を握っているとされる。,"武田 陽一,松田 優",銀河出版,2024-02-15,2800,420,"9784567891241",http://vsv-peridot.skygroup.local/my-books/images/Q1yG9K2zL5Xr.jpg
B8R4nC6kY9Jt,白き翼の約束,若い獣医のサヤカは、傷ついたコウノトリを保護するうちに、鳥類研究家のタケルと出会う。タケルはコウノトリの保護活動に人生を捧げており、サヤカは彼の熱意に心を動かされる。二人は次第に惹かれ合うが、タケルには過去の傷があった。,"山本 浩,福田 友美",青い星社,2023-08-30,2200,300,"9784567891242",http://vsv-peridot.skygroup.local/my-books/images/B8R4nC6kY9Jt.jpg
R0tW5P3lJ2Mt,コウノトリのすべて,コウノトリの生態、習性、保護活動など、コウノトリに関するあらゆる情報を網羅した図鑑。コウノトリの特徴的な長い足やくちばし、飛行パターンから巣作りまでを詳細に解説。,田辺 正人,科学出版社,2021-11-19,2500,500,"9784567891243",http://vsv-peridot.skygroup.local/my-books/images/R0tW5P3lJ2Mt.jpg

