d9a5d3e839e1,ウサギの冒険,小さなウサギのリリーは、春の訪れとともに広い森を冒険することを決心しました。彼女は友達のカメやリスと共に、美しい花畑や小川を探検します。道中、彼らは不思議な動物たちと出会い、友情や助け合いの大切さを学びます。リリーの成長とともに、仲間たちとの絆が深まる物語です。色とりどりのイラストが描かれた本書は、子どもたちに冒険心や協力の重要性を伝えます。,佐藤 大輔,未来社,2021-06-15,1200,48,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/d9a5d3e839e1.jpg
c6b9f8e4a4d2,ウサギの消えた耳,森の住人たちが集まる中、ウサギのミミが何者かに耳を奪われる事件が発生した。親友ハナは、真相を突き止めるために探偵に変身します。彼女は証拠を集めながら、疑わしい動物たちと対峙し、意外な真実が明らかになっていく。友情や勇気を描く、心温まるミステリーです。,田中 佳奈,創作工房,2019-04-22,1500,220,"9781234567891",http://vsv-peridot.skygroup.local/my-books/images/c6b9f8e4a4d2.jpg
41d2f3be2e1c,ウサギの歴史：過去から未来へ,本書は、ウサギの起源から現在に至るまでの歴史を追った一冊です。古代の伝説や文化におけるウサギの役割、農業や生態系への影響について詳しく解説しています。また、ウサギと人間との関わりや環境問題に対する理解も深める内容になっています。子どもから大人まで、ウサギの魅力を再発見できる貴重な資料です。,村上 修一,歴史出版,2018-11-10,2500,320,"9781234567892",http://vsv-peridot.skygroup.local/my-books/images/41d2f3be2e1c.jpg
5f8c6e6b13d0,ウサギの王国,幻想的な世界のウサギたちは、魔法の力で王国を築いていました。しかし、邪悪な魔女が王国を襲い、ウサギたちは絶望の淵に立たされます。勇敢なウサギの王子は仲間たちと共に魔女に立ち向かい、友情や信頼を武器に冒険を繰り広げます。彼らの奮闘が、王国を救う希望の光となる物語です。,山口 明美,ファンタジー出版,2023-02-01,1800,260,"9781234567893",http://vsv-peridot.skygroup.local/my-books/images/5f8c6e6b13d0.jpg
1a5b6e2c8f3d,ウサギの夢の中,小さなウサギ、ナナは夜ごと夢の中で異世界を旅しています。夢の中では、彼女は人間の女の子として冒険し、友達や新しい経験を得ます。しかし、現実世界での問題に直面し、夢と現実の狭間で成長していく姿が描かれています。自己発見や友情の大切さがテーマです。,安藤 美咲,アドベンチャー出版,2020-08-14,1600,220,"9781234567894",http://vsv-peridot.skygroup.local/my-books/images/1a5b6e2c8f3d.jpg
b6f1e3c4d2b9,ウサギの隠された秘密,町のウサギたちが次々と消えていく事件が発生。若き探偵ウサギのトムは、仲間たちと共に事件を解決するために立ち上がります。彼らは消えたウサギたちの痕跡を追い、町の暗い秘密に迫ります。トムの頭脳と仲間たちの協力で、真相に辿り着く姿が描かれた緊迫のミステリーです。,小林 秀樹,ミステリー文庫,2022-03-05,1400,200,"9781234567895",http://vsv-peridot.skygroup.local/my-books/images/b6f1e3c4d2b9.jpg
2c5b7e1f8a6d,ウサギと消えたニンジン,町の有名なニンジン畑から、数々のニンジンが突然消える事件が発生。ウサギの探偵ルビーは、この謎を解くために立ち上がります。彼女は村人たちから情報を集めながら、怪しい影を追いかけていく。真実にたどり着くまでのスリリングな展開が楽しめる一冊です。,吉田 光,探偵社,2021-09-20,1200,150,"9781234567896",http://vsv-peridot.skygroup.local/my-books/images/2c5b7e1f8a6d.jpg
7e4a5b3c9d8b,ウサギの宇宙旅行,未来の地球では、ウサギたちが宇宙船を使って星を旅する時代が訪れました。主人公のウサギ、ジンは、仲間と共に新しい星系を探索し、未知の生物との交流を試みます。しかし、彼らは危険な宇宙海賊に遭遇し、星間での冒険が始まる。友情や勇気が試されるスリリングな物語です。,藤原 一樹,SF出版,2024-01-25,2000,300,"9781234567897",http://vsv-peridot.skygroup.local/my-books/images/7e4a5b3c9d8b.jpg
3c5e6f9b1a8d,ウサギと初恋,森に住むウサギのココは、ある日、隣の村に住むウサギのモモと出会う。初めて感じる恋心に戸惑いながらも、二人は仲を深めていきます。しかし、村の間には伝説の障壁があり、二人はその試練を乗り越えなければなりません。友情や愛情、冒険が絡み合った、心温まる恋物語です。,村田 美香,ラブストーリー社,2020-05-14,1400,180,"9781234567898",http://vsv-peridot.skygroup.local/my-books/images/3c5e6f9b1a8d.jpg
f5a6c2e3d7b8,ウサギの世界：種類と習性,この図鑑では、ウサギの多様な種類や生態、行動について詳しく解説しています。世界各地のウサギを紹介し、それぞれの特性や生活環境、社会性について触れています。また、ウサギの保護についても説明し、環境保護の重要性を学べる内容です。豊富な写真とイラストが満載で、視覚的にも楽しめる一冊です。,佐々木 直樹,自然科学社,2023-03-30,2500,400,"9781234567899",http://vsv-peridot.skygroup.local/my-books/images/f5a6c2e3d7b8.jpg

