X3b2m1nqJk6z,カエルくんの大冒険,森の中に住むカエルくんは、いつも同じ場所で遊んでいましたが、ある日、未知の世界を探検することに決めました。友達のウサギやリスと一緒に川を渡り、草原を越え、さまざまな生き物に出会います。道中、勇気と友情の大切さを学び、帰るときには少し大人になったカエルくんの心の成長を描いた心温まる物語です。,水野 陽介,アクア書房,2023-04-15,1500,200,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/X3b2m1nqJk6z.jpg
J4c5v9s2Qh8k,カエルの嘘,険しい森の中で、数匹のカエルが不審な失踪を遂げます。地元の名探偵、佐藤は、村のカエルたちに目を向け、彼らが知っている秘密を探り始める。村の伝説に関わる謎が次第に明らかになり、カエルたちの間に隠された真実と嘘が交錯します。果たして失踪したカエルたちはどこに行ったのか？,高橋 美紀,白樺出版社,2021-11-07,2000,250,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/J4c5v9s2Qh8k.jpg
T7q4m0j8Ld1k,カエルの歴史：地球の水辺の守護者,カエルは、地球上で何百万年もの間、生態系の重要な一部として存在してきました。本書では、古代のカエルの化石から現代のカエルまで、その進化と多様性を探ります。さらに、環境の変化がカエルたちに与えた影響や、彼らが人間社会で果たしてきた役割についても詳しく紹介します。カエルの魅力を通じて、自然との共生について考える機会を提供する一冊です。,石井 直樹,エコライフ出版,2018-06-23,2500,350,"9782345678901",http://vsv-peridot.skygroup.local/my-books/images/T7q4m0j8Ld1k.jpg
Y8n6b2c1Hf9d,魔法のカエルと緑の王国,幻想的な緑の王国に住むカエルのファリスは、特別な魔法の力を持つ存在です。ある日、王国が闇の魔女に脅かされ、ファリスは仲間たちと共に冒険の旅に出ることを決意します。試練を乗り越え、友情を育みながら、彼らは魔女の野望を阻止するための真実に迫ります。果たして、ファリスは王国を救えるのか？,中村 俊介,ファンタジア出版,2020-09-30,1800,280,"9783456789012",http://vsv-peridot.skygroup.local/my-books/images/Y8n6b2c1Hf9d.jpg
L0s3w1k9Dq8m,カエルの王子と月の光,ある日、カエルの王子は、月の光に導かれて人間の世界に迷い込みます。彼は、美しい姫に出会い、彼女の心を掴むために努力します。しかし、王子がカエルの姿であることが彼女に知られると、二人の関係は試練に直面します。魔法の力で元の姿に戻れるのか、愛の力が試される物語です。,田中 結衣,恋愛小説社,2022-01-12,1600,240,"9784561237890",http://vsv-peridot.skygroup.local/my-books/images/L0s3w1k9Dq8m.jpg
F3j8r0v1Wg7k,カエルの声の謎,カエルたちの大合唱が聞こえる静かな村で、突然カエルたちが一斉に沈黙してしまいます。村の人々はその理由を知りたがり、カエルたちの声の秘密を解き明かそうとします。主人公の少女、響は、カエルたちの声が持つ重要な意味を探りながら、村に隠された過去に迫ります。響は果たしてカエルたちの沈黙を解き明かせるのか？,藤田 洋子,ミステリーブック社,2019-05-19,2200,300,"9789876543210",http://vsv-peridot.skygroup.local/my-books/images/F3j8r0v1Wg7k.jpg
A5z2t4x3Ew1b,カエルたちの秘密の集会,謎の暗闇に包まれた森の中で、毎晩カエルたちが集まる秘密の会議が開かれています。村の若者たちがその存在に気づき、真相を探ろうとするが、彼らはカエルたちの秘密を守るために命がけで立ち向かうことになる。カエルたちが何を企んでいるのか、彼らの意図は果たして何なのか？果たして、村の運命はどうなるのか？,"佐々木 直樹,川村 光",ミステリー出版,2024-02-01,2000,260,"9786543210987",http://vsv-peridot.skygroup.local/my-books/images/A5z2t4x3Ew1b.jpg
I8n4q7y0Bf6m,カエルの星：地球の未来,人類が地球を離れ、カエルたちが進化して知恵を持つ存在となった未来の世界。彼らは地球に残された古い記録を元に、人類との接触を目指して宇宙探査に出発します。新しい星での冒険を通じて、カエルたちは人間との関係を築こうとするが、さまざまな困難が立ちはだかる。未来の希望とカエルたちの知恵が試される物語です。,佐藤 真司,宇宙出版,2021-08-10,2700,450,"9787654321098",http://vsv-peridot.skygroup.local/my-books/images/I8n4q7y0Bf6m.jpg
P7f1x5n2Eo8z,カエルの愛の歌,森の中に住むカエルのミズキは、歌が得意です。彼女は毎晩、星空の下で自分の歌を響かせ、村のカエルたちを魅了していました。そんな中、遠くからやってきた青年カエルのリョウは、ミズキの歌に心を奪われ、彼女に恋をします。しかし、二人の間には身分の違いや周囲の反対が立ちはだかります。果たして、彼らの愛は実るのか？,大野 花子,ラブストーリー出版社,2023-03-25,1900,220,"9783456780123",http://vsv-peridot.skygroup.local/my-books/images/P7f1x5n2Eo8z.jpg
B9n4k1z7Qh3j,カエルの百科事典,本書は、カエルの多様性、生活環境、生態について詳しく解説した百科事典です。世界中のカエルの種類や特徴、行動パターンを豊富な写真やイラストとともに紹介し、読者がカエルに対する理解を深めることを目指します。また、カエルの保護の重要性についても触れ、読者にカエルの世界の魅力を伝えています。,安藤 翔太,知識の森出版,2020-12-05,3200,500,"9781234560123",http://vsv-peridot.skygroup.local/my-books/images/B9n4k1z7Qh3j.jpg

