aAW1b2c3d456,オオカミの森,小さなオオカミの子、ルナは、初めての森探検に出かけます。友達のウサギやリスと一緒に、楽しい冒険が待っています。しかし、途中で大きな川を渡ることに挑戦します。ルナは不安を抱えつつも、仲間たちと力を合わせ、勇気を出してこの困難に立ち向かいます。彼女の勇気と友情の力が試される心温まる物語です。,石川 純,大自然出版,2023-05-14,1500,120,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/a1b2c3d4e5f6.jpg
TYdsdf8c9d01,月明かりの秘密,名探偵のジャックは、山中で連続オオカミの襲撃事件が発生したとの報告を受け、調査に向かいます。現場で彼が目にしたのは、月明かりの下で行われる不気味な儀式でした。真相を追う中で、彼は人間とオオカミの関係に隠された深い秘密を知り、事件の背後にいる者たちの狙いを突き止めようと奮闘します。果たしてジャックは事件を解決できるのでしょうか。,村上 真,光明社,2020-09-08,2500,300,"9784567890124",http://vsv-peridot.skygroup.local/my-books/images/a7b8c9d0e1f2.jpg
xfhkkfc5d678,オオカミたちの歴史,古代から現代まで、オオカミは人間と深い関わりを持ってきました。本書では、オオカミの進化の過程や、人間との共生、伝説や神話におけるオオカミの役割などを詳しく解説しています。オオカミの視点から見る人類の歴史を新たな角度から探求し、彼らの生態と文化を理解するための内容です。,三浦 海,ヒストリーブックス,2018-11-21,2800,450,"9784567890125",http://vsv-peridot.skygroup.local/my-books/images/a3b4c5d6e7f8.jpg
WExaa9hjc1d2,オオカミの王国,遥か遠い魔法の王国に、オオカミたちが支配する部族が存在しました。彼らは人間と敵対することで知られていますが、若いオオカミ王エルファは、共存の道を選ぶことを決意します。しかし、敵対する部族との戦争が迫り、彼は仲間たちと共に新しい未来を切り開くために奮闘します。エルファの勇気が試される瞬間が訪れるのです。,宮崎 薫,ファンタジック出版,2021-01-30,2300,320,"9784567890126",http://vsv-peridot.skygroup.local/my-books/images/a9b0c1d2e3f4.jpg
swxdaa5b6c7d,オオカミの声,妖精と人間の世界が交差するファンタジーの中で、オオカミの群れが不思議な力を持つことが明らかになります。彼らの声は、森の中の魔法を解き放つ鍵であり、少女アリアはその声を通じて危機に瀕した森を救おうとします。彼女はオオカミたちと共に冒険を繰り広げ、友情と勇気を試される中、彼女自身の成長も描かれる心温まる物語です。,山本 光,ストーリーテラー社,2022-07-15,1700,210,"9784567890127",http://vsv-peridot.skygroup.local/my-books/images/a5b6c7d8e9f0.jpg
xdaa1b2c3d45,狼の影,小さな村で起こった失踪事件。村人たちはオオカミの仕業と疑い、恐れを抱きます。若き記者のリサは、真実を探るため村を訪れますが、彼女が目にしたのは、村とオオカミたちの意外な関係でした。村の過去に隠された秘密が明らかになるにつれ、リサは次第に危険な状況に巻き込まれていくのです。彼女は真実を求め、勇気を奮い起こします。,藤田 智,シャドウ出版,2019-12-05,2000,260,"9784567890128",http://vsv-peridot.skygroup.local/my-books/images/a1b2c3d4e5f6.jpg
axadssa7b9d0,月夜のオオカミたち,幽霊のように現れるオオカミの群れが、村に不気味な噂をもたらしていました。村の若者、トムは真相を突き止めるべく、オオカミたちの正体を探る旅に出ます。彼が辿り着いた先で、村の歴史や隠された過去が明らかになり、果たしてオオカミたちは敵か味方なのかを見極めなければなりません。彼の冒険は村の運命を変えることになるでしょう。,斉藤 優,エコー出版,2023-03-22,2200,340,"9784567890129",http://vsv-peridot.skygroup.local/my-books/images/a7b8c9d0e1f2.jpg
ASDxa245a3c5,オオカミの叛乱,人類がオオカミを遺伝子操作によって進化させ、思考を持たせる実験が行われる。しかし、オオカミたちはその能力を持つがゆえに反乱を起こします。生存を賭けた戦いの中で、人間とオオカミが共存する新しい未来を模索する中、真の敵が誰であるかを見極めなければなりません。新たな友情や裏切りが交錯し、緊迫した状況の中で彼らは一緒に未来を築こうとする姿が描かれます。,鈴木 理恵,インスパイア出版,2022-11-11,2500,480,"9784567890130",http://vsv-peridot.skygroup.local/my-books/images/a3b4c5d6e7f8.jpg
ZDxaa9b0d234,愛しきオオカミ,都会で忙しい日々を送るエミは、ある日、野生のオオカミに出会います。そのオオカミとの交流を通じて、彼女は自分の内面を見つめ直し、人生の目的を見つけていくのです。次第に、オオカミとの心のつながりが深まり、彼女は彼を守るために立ち上がります。オオカミと人間の絆を描いた心温まるストーリーは、多くの人に感動を与えます。,加藤 美和,ネイチャー出版,2021-06-03,1900,270,"9784567890131",http://vsv-peridot.skygroup.local/my-books/images/a9b0c1d2e3f4.jpg
x245aa6c7d89,オオカミ図鑑：自然の探求者,オオカミの生態や行動、文化について深く掘り下げた図鑑です。オオカミの社会構造、狩猟行動、環境への適応など、豊富な写真とともに解説し、オオカミの魅力を伝えます。各地域のオオカミの違いや人間との関係についても詳しく記載し、子供から大人まで楽しめる知識が詰まった一冊です。,田中 雄,エコロジー出版,2020-04-19,3000,600,"9784567890132",http://vsv-peridot.skygroup.local/my-books/images/a5b6c7d8e9f0.jpg

タイトル: 「オオカミの森」
ジャンル: 絵本
