D7g8k1nR2zC4,色を変える友達,小さなカメレオンのリリィは、いつも色を変えながら友達を作ることを楽しんでいました。彼女は毎日、さまざまな色の花や葉っぱに身を隠し、新しい友達を見つける冒険に出かけます。ある日、リリィは自分の色を隠すのではなく、自分の個性を大切にすることに気づきます。色を変える力で、友達と共に楽しい時間を過ごすリリィの姿を描いた心温まる物語です。,高橋 誠,青空出版,2021-07-15,1500,60,"9784561234567",http://vsv-peridot.skygroup.local/my-books/images/D7g8k1nR2zC4.jpg
5Yh9u3ZxE1pK,変身の迷宮,名探偵が姿を消し、その失踪を追うのは新人探偵のカメレオン・カミ。カミは色を変える特技を活かして情報を集め、事件の真相に迫る。背後には宿敵が潜んでおり、カミは巧妙な変装と潜入術で真実を明らかにしていく。彼の活躍は探偵業界を揺るがす大事件へとつながり、緊張感溢れるストーリーが展開される。,村上 拓也,時空出版,2018-02-28,2200,320,"9784591237894",http://vsv-peridot.skygroup.local/my-books/images/5Yh9u3ZxE1pK.jpg
J1d4m2FzW6eQ,カメレオンの歴史,カメレオンの進化の歴史を辿る本書では、古代から現代までの変遷を化石や遺伝子研究を通じて探求します。各地域でのカメレオンの役割や、人間との関わりについても詳しく解説し、自然界での重要性や環境保護の視点も織り交ぜています。未来のカメレオン保護についても考えさせる内容が含まれています。,秋田 美咲,緑の本屋,2022-09-01,2800,450,"9784908324562",http://vsv-peridot.skygroup.local/my-books/images/J1d4m2FzW6eQ.jpg
2Bz5e6RtK8xA,虹の魔法使い,カメレオンのカリオは、色を変える魔法を使う特別な存在です。彼は失われた色の国を救うために旅立ちます。仲間たちと共に不思議な生き物たちと出会い、色の精霊と協力して邪悪な魔女に立ち向かう。カリオは自分の力を信じて、真の友情と勇気を手に入れていく物語が描かれます。,佐々木 薫,夢の出版社,2019-11-20,1600,120,"9784812345678",http://vsv-peridot.skygroup.local/my-books/images/2Bz5e6RtK8xA.jpg
H9d7m8XcL3kF,カメレオンの伝説,伝説のカメレオン「イリジウム」は、色を操る力を持つ王でした。しかし、彼の力が狙われ、イリジウムは力を隠して暮らすことに。王国を救うために勇敢な冒険に出て、仲間と共に色の魔法を駆使して悪に立ち向かいます。友情と自己発見の旅が描かれた、感動的なストーリーです。,山田 亮,青い空出版,2020-03-14,2000,300,"9784578123460",http://vsv-peridot.skygroup.local/my-books/images/H9d7m8XcL3kF.jpg
Q4z7w9TjR1mK,消えた色の真実,カメレオンの村で色が消えていく事件が発生。村人たちは恐怖に陥り、色を取り戻す方法を探し始める。若いカメレオン、リオは村の伝説を調べ始め、失われた色の理由を追求。村の歴史に隠された秘密を解き明かし、果たして彼は村を救うことができるのか、緊迫した冒険が繰り広げられます。,石井 美和,未来出版,2017-05-30,1700,200,"9784589034567",http://vsv-peridot.skygroup.local/my-books/images/Q4z7w9TjR1mK.jpg
P2h3k6YfL1mJ,色の闇に潜む影,名探偵リズは色が変わらなくなったカメレオンたちを救うために調査を始めます。彼女は村に潜む古代の呪いと悪意を持つ者たちの陰謀を暴いていく。色を取り戻す鍵を握るのはかつての仲間、カメレオン・サスケ。果たしてリズは真実に辿り着けるのでしょうか。,高橋 健,光の出版,2023-08-22,1900,150,"9784593215647",http://vsv-peridot.skygroup.local/my-books/images/P2h3k6YfL1mJ.jpg
N5t9k8QjC2eD,カメレオンの未来,未来の地球では、カメレオンが進化し、色を操る能力が強化されています。人間とカメレオンの共存を描く物語で、主役のカメレオン・ネオは自らの能力を使って未来の地球を救おうと奮闘。彼の旅には環境問題や人間との関係性を問い直す深いメッセージが込められています。,鈴木 一郎,地球出版社,2024-01-09,2500,400,"9784908213456",http://vsv-peridot.skygroup.local/my-books/images/N5t9k8QjC2eD.jpg
V8b2y4KxP7jN,カメレオンと星の恋,カメレオンのリュウは、夜空に輝く星の精霊・リリスに恋をします。月明かりの下で色を変えて彼女にアプローチするリュウ。しかし、二つの世界が交わることは難しく、愛の力で運命を切り開く感動の物語が待ち受けています。,田中 洋子,夢幻出版,2016-12-05,2300,250,"9784791345678",http://vsv-peridot.skygroup.local/my-books/images/V8b2y4KxP7jN.jpg
S1m3j6UqN8xR,カメレオンの世界,カメレオンの魅力を紹介する図鑑です。様々な種類のカメレオンを色や生態に分けて詳しく解説し、その特性や生息環境を豊富な写真と共に紹介します。カメレオンの特殊な能力や飼育方法、保護活動についても触れ、読者にカメレオンの理解を深めさせる内容となっています。,佐藤 幸子,自然文庫,2022-06-15,3000,480,"9784796781234",http://vsv-peridot.skygroup.local/my-books/images/S1m3j6UqN8xR.jpg

タイトル: 「色を変える友達」
ジャンル: 絵本
あらすじ: 小さなカメレオンのリリィは、いつも色を変えながら友達を作ることを楽しんでいました。彼女は毎日、さまざまな色の花や葉っぱに身を隠し、新しい友達を見つける冒険に出かけます。しかし、ある日、リリィは自分の色を隠すのではなく、自分の個性を大切にすることに気づきます。色を変える力で、友達と共に楽しい時間を過ごすリリィの姿を描いた心温まる物語です。
表紙絵の表現: 表紙には、リリィが鮮やかな色の花の中で色を変えながら遊んでいる様子が描かれています。リリィの目が輝いており、周囲には様々な色の蝶や小動物がいて、楽しげな雰囲気が伝わるデザインになっています。

タイトル: 「変身の迷宮」
ジャンル: 推理小説
あらすじ: 突如として姿を消した名探偵。彼の失踪を追うのは、新人探偵のカメレオン・カミ。カミは、色を変える特技を活かして情報を集め、証拠を追いかける。失踪の背後には、彼の宿敵が隠れていることが判明。カミは、その巧妙な変装と潜入術を駆使して、真相に迫っていく。彼の活躍が、探偵業界を揺るがす大事件の幕開けとなる。
