F3b8Kq0L2XnM,トカゲのタッチ,小さなトカゲのタッチは、初めての冒険に出かけます。色とりどりの植物や昆虫と友達になりながら、自分の居場所を見つける旅が始まります。タッチは、仲間たちの助けを借りて、様々な困難を乗り越えていく中で、友情や勇気の大切さを学びます。最後には、家族の元に帰る感動の結末が待っています。,高橋 明,星辰出版,2019-03-12,1500,120,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/F3b8Kq0L2XnM.jpg
gN4jYq8T1RmD,トカゲの影,都市の公園で発見された奇妙なトカゲの死体が、若き探偵アキラを引き寄せます。調査を進めるうちに、トカゲが持つ秘密が明らかになり、権力者たちの陰謀に巻き込まれていく。果たして、アキラは真実を見抜き、この陰謀を暴くことができるのか？最後の結末に待ち受ける意外な真実とは。,佐藤 仁志,黒猫書房,2020-08-25,2000,280,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/gN4jYq8T1RmD.jpg
bZ7mJt3W9YqH,トカゲの時代,この本は、古代文明におけるトカゲの重要性について探ります。古代エジプトの壁画から、メソアメリカの神話に至るまで、トカゲは神聖視され、さまざまな文化での象徴的な意味を持っていました。生態や生息地の変遷も含めて、トカゲがどのように歴史を形成してきたのかを掘り下げていきます。詳しい情報と共に、読者を古代の世界へと誘います。,鈴木 裕樹,南風書房,2021-11-05,2500,300,"9787890123456",http://vsv-peridot.skygroup.local/my-books/images/bZ7mJt3W9YqH.jpg
bZ7mJt3W9YqC,トカゲの魔法使い,魔法の国で、トカゲの姿を持つ魔法使いが人々の暮らしを助けていました。彼の魔法は自然を癒し、動物たちと会話する力を持っていましたが、悪の魔女がその力を狙い、争いが始まります。トカゲの魔法使いは、自身の力を信じ、仲間たちと共に悪に立ち向かう決意を固めます。,黒田 次郎,星野出版,2016-03-20,2000,150,"9782345678901",http://vsv-peridot.skygroup.local/my-books/images/bZ7mJt3W9YqC.jpg
Qw6eFh2R5KzP,トカゲの王国,トカゲたちが住む異世界では、王国の存亡がかかった危機が迫っていた。若きトカゲの王リュウは、魔法の力を持つ古代のトカゲを探し出すため、冒険の旅に出る。仲間たちと共にさまざまな試練を乗り越え、真の王として成長する姿が描かれ、友情や冒険のスリルが詰まった物語です。読者はリュウの成長を通じて、勇気や信頼の大切さを学ぶことができます。,松本 剛,ファンタジー出版,2018-07-13,2200,350,"9784561237890",http://vsv-peridot.skygroup.local/my-books/images/Qw6eFh2R5KzP.jpg
dY5nHb0T7ZwJ,トカゲの秘宝,伝説のトカゲが守る秘宝を求めて、冒険者たちが集まります。しかし、秘宝を手に入れるためには、試練を乗り越えなければなりません。物語は、各キャラクターが持つ思いや背景を描きながら、彼らの成長を追います。果たして、誰が秘宝を手にするのか？予想外の展開が待ち受ける、スリリングな冒険が繰り広げられます。,"田中 一郎,山田 次郎",冒険社,2022-01-19,1800,420,"9783214567890",http://vsv-peridot.skygroup.local/my-books/images/dY5nHb0T7ZwJ.jpg
hX3tJd1N6KfV,トカゲの足跡,ある日、人気のない小道でトカゲの足跡が見つかり、それが一連の失踪事件と結びつくことになる。元警官のエミは、トカゲの足跡を手がかりに事件を解決しようと奮闘します。多くの隠された真実が明らかになり、彼女の過去とも関わっていく。どんでん返しの連続で、最後には驚くべき真実が待っています。読者はエミの視点を通じて、サスペンスフルな体験を味わうことができるでしょう。,高橋 恵,クリムゾン出版社,2023-04-11,2100,340,"9786543210987",http://vsv-peridot.skygroup.local/my-books/images/hX3tJd1N6KfV.jpg
sH8gLp4E0MxR,トカゲの遺伝子,近未来、科学者たちはトカゲの遺伝子を解析し、再生医療の新たな道を開こうとしていました。しかし、実験の失敗から生まれた改造トカゲが逃げ出し、都市を脅かす存在に。科学者たちは、トカゲの行動を追跡し、その背後にある陰謀を解明しようと奮闘します。人類の未来がかかった戦いが展開され、科学と倫理のジレンマに直面することになります。,西村 信彦,未来技術出版,2020-09-15,3000,450,"9789876543210",http://vsv-peridot.skygroup.local/my-books/images/sH8gLp4E0MxR.jpg
T4xZyQ1D8WjE,トカゲの恋,自然観察が趣味の大学生、ユウは、トカゲの研究に情熱を燃やす同級生、リナに出会います。彼女と共にフィールドワークをする中で、トカゲの魅力を通じて二人の距離が縮まっていきます。しかし、リナのトカゲへの情熱は、ユウにとって嫉妬を引き起こすことも。恋と友情、科学の狭間で葛藤する彼らの物語は、若者たちの成長を描いた感動的なストーリーです。,佐藤 真紀,アカデミック出版社,2021-12-30,1600,280,"9783217894560",http://vsv-peridot.skygroup.local/my-books/images/T4xZyQ1D8WjE.jpg
P2kRs9M5YfQ3,トカゲの世界,この図鑑は、世界中のトカゲについて詳しく解説しています。生息地や生態、特徴などが豊富な写真と共に紹介されており、トカゲに関する知識を深めることができます。また、希少種や絶滅危惧種についても触れ、保護の重要性を訴えています。トカゲファン必見の一冊であり、楽しみながら学べる内容となっています。,山本 和彦,地球環境出版社,2023-05-02,2000,150,"9784569871230",http://vsv-peridot.skygroup.local/my-books/images/P2kRs9M5YfQ3.jpg

