1oh1wO8G0L0A,チンパンジーとちっちゃな友だち,森の中でひとりぼっちの小さなチンパンジー、ココは友だちがいなくて寂しい思いをしていました。ある日、小さな男の子トムと出会い、二人はすぐに仲良しになります。ココとトムは一緒に冒険に出かけ、森の動物たちに新しい仲間を見つけようとします。絵本は、友情の大切さや仲間との絆を描いた心温まる物語です。,藤井 志乃,創風社,2022-05-15,1500,40,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/1oh1wO8G0L0A.jpg
4m0U3t4xGv6q,森の謎と消えた日記,チンパンジーの研究を行う学者ジョナスは、ある日、研究所の重要な日記が消えたことに気づきます。その日記には、チンパンジーが人間に匹敵する知能を持つことを示す証拠が記されていました。ジョナスは助手のリサとともに、消えた日記の謎を追うことになりますが、次々と奇妙な事件が起こり始めます。日記を狙う黒幕の正体は？そして、チンパンジーたちは何を隠しているのか？,"木村 貴之,石井 明子",未来書房,2021-08-24,2200,320,"9781234567891",http://vsv-peridot.skygroup.local/my-books/images/4m0U3t4xGv6q.jpg
4F94z1W6Ru5M,チンパンジーと人類の共存史,人類の歴史とチンパンジーの関係をひも解く本書では、古代から現代までの共存と衝突を探ります。古代の伝説に登場するチンパンジー像から、現代の研究による進化の謎、そして保護活動の歴史に至るまで、チンパンジーと人間がどのように共に生きてきたのかを学ぶことができる一冊です。豊富な資料と最新の研究に基づく新しい視点が盛り込まれています。,佐藤 健一,研究社,2020-01-10,3500,250,"9781234567892",http://vsv-peridot.skygroup.local/my-books/images/4F94z1W6Ru5M.jpg
8Zy1hN0sF4wJ,霧に隠された森,森の奥深くにある神秘の島「チンパン島」。そこでは、チンパンジーが魔法の力を持ち、森を守っています。若き冒険者リリーは、その島を見つけるという祖父の夢を叶えるため、旅に出ます。やがて彼女は島にたどり着き、魔法を操るチンパンジーたちと出会い、古代の伝説に巻き込まれていきます。リリーは森を救うため、島の秘密を解き明かすことができるのでしょうか。,岡田 美香,星の出版社,2019-07-11,1800,300,"9781234567893",http://vsv-peridot.skygroup.local/my-books/images/8Zy1hN0sF4wJ.jpg
F1x2zRr7K8sa,チンパンジーの王国,チンパンジーが支配する異世界、「ジャングル・キングダム」。そこで、人間の少女マリアは、異世界に飛ばされ、チンパンジーの王国で不思議な力を持つ王子に出会います。王子とともに国を救うために魔法の旅に出ることになりますが、途中で数々の試練が待ち受けます。友情と勇気、そして裏切りが交差する中、マリアは自分の運命と向き合うことになります。,長谷川 直樹,アトラス出版,2023-11-18,2600,400,"9781234567894",http://vsv-peridot.skygroup.local/my-books/images/F1x2zRr7K8sa.jpg
t4F3jW1YfJ6g,森の中の沈黙,ある日、動物保護区でチンパンジーの群れが突然姿を消す事件が発生。チンパンジーの研究者アリスは、調査のために現地に派遣されます。だが、調査が進むにつれ、森の中に隠された秘密が明らかになっていきます。誰も語らない沈黙の真相とは何か？そして消えたチンパンジーたちはどこに？アリスは次第に事件の裏に潜む陰謀に気づき、命をかけた調査を進めていきます。,菊地 貴之,オリオン社,2024-02-28,2000,450,"9781234567895",http://vsv-peridot.skygroup.local/my-books/images/t4F3jW1YfJ6g.jpg
6bG0nM2Xr5C7,沈黙の研究室,著名なチンパンジー研究者が、謎の死を遂げた。その遺した研究室には、奇妙な記録とともに、隠された真実が眠っている。探偵エリオットは、研究者の死の謎を追い、様々な人物と対峙しながら事件の真相に迫る。やがて、チンパンジーの研究にまつわる恐ろしい秘密が浮かび上がる。果たして、真相は何なのか？そして、研究者はなぜ命を落としたのか？,"田中 光太郎,小林 恵子",グラナダ書房,2022-12-05,1700,320,"9781234567896",http://vsv-peridot.skygroup.local/my-books/images/6bG0nM2Xr5C7.jpg
A1Q8tY2jK3mW,知性の目覚め,近未来、人類はチンパンジーの遺伝子操作によって、知性を飛躍的に向上させることに成功する。新たな知性を持ったチンパンジーたちは、驚異的なスピードで技術と文明を発展させ、人間と共存の道を歩もうとするが、その裏には暗い陰謀が潜んでいた。知能を持ったチンパンジーが次第に人間に対抗し始め、社会は混乱に陥る。果たして人類は、彼らとの共存を選ぶのか、それとも衝突が待っているのか。,井上 剛,サイエンス出版,2021-03-15,3100,500,"9781234567897",http://vsv-peridot.skygroup.local/my-books/images/A1Q8tY2jK3mW.jpg
W8K0qA3nH5dB,森の中の君へ,野生動物保護区で働く獣医のエマは、チンパンジーの保護活動に携わっている。そこに、ある日、環境活動家のライアンがやってきて、二人は衝突しながらも次第に惹かれ合っていく。チンパンジーたちを守るために戦う彼らは、共通の目標を持ちながらも、自分たちの未来について葛藤する。自然の中で育まれる二人の恋は、チンパンジーの未来と彼らの関係にどう影響するのか。,佐藤 未来,森の出版社,2023-07-22,1600,280,"9781234567898",http://vsv-peridot.skygroup.local/my-books/images/W8K0qA3nH5dB.jpg
2H0W6qN3F5dP,チンパンジーのすべて,チンパンジーに関するあらゆる情報を網羅した一冊。生態、習性、社会構造、進化など、専門家による最新の研究結果を紹介しながら、チンパンジーの魅力を深く探ることができます。美しい写真と共に、親しみやすい文章で綴られた本書は、子どもから大人まで楽しめる内容です。,岡村 達彦,学研プラス,2024-05-10,2400,180,"9781234567899",http://vsv-peridot.skygroup.local/my-books/images/2H0W6qN3F5dP.jpg

タイトル: 「チンパンジーとちっちゃな友だち」
ジャンル: 絵本
あらすじ: 森の中でひとりぼっちの小さなチンパンジー、ココは、友だちがいなくて寂しい思いをしていました。ある日、小さな男の子、トムと出会い、二人はすぐに仲良しになります。ココとトムは一緒に冒険に出かけ、森の動物たちに新しい仲間を見つけようとします。絵本は、友情の大切さや仲間との絆を描いたハートフルな物語です。
表紙絵の表現: 表紙には、笑顔で手をつなぐココとトムが描かれ、背景には色とりどりの花が咲き誇る森の中で、陽光が木漏れ日のように輝いています。二人の楽しそうな様子が温かく描かれています。

タイトル: 「森の謎と消えた日記」
ジャンル: 推理小説
あらすじ: チンパンジーの研究を行う学者ジョナスは、ある日、研究所の重要な日記が消えたことに気づきます。その日記には、チンパンジーが人間に匹敵する知能を持つことを示す証拠が記されていました。ジョナスは助手のリサとともに、消えた日記の謎を追うことになりますが、次々と奇妙な事件が起こり始めます。日記を狙う黒幕の正体は？そして、チンパンジーたちは何を隠しているのか？
表紙絵の表現: 夜の森が舞台となり、暗闇の中にひっそりとたたずむチンパンジーの影と、何かを探しているジョナスとリサの姿が描かれています。薄明かりの月が、スリリングな雰囲気を強調しています。

タイトル: 「チンパンジーと人類の共存史」
ジャンル: 歴史
あらすじ: 人類の歴史とチンパンジーの関係をひも解く本書では、古代から現代までの共存と衝突を探ります。古代の伝説に登場するチンパンジー像から、現代の研究による進化の謎、そして保護活動の歴史に至るまで、チンパンジーと人間がどのように共に生きてきたのかを学ぶことができる一冊です。豊富な資料と最新の研究に基づく新しい視点が盛り込まれています。
表紙絵の表現: 人類とチンパンジーの歴史が描かれたタイムラインのようなデザイン。石器時代の人々とチンパンジーが並んで描かれ、背景には現代の都市と自然の風景が交差しています。共存の歴史を象徴する壮大なイメージです。

タイトル: 「霧に隠された森」
ジャンル: ファンタジー小説
あらすじ: 森の奥深くにある神秘の島「チンパン島」。そこでは、チンパンジーが魔法の力を持ち、森を守っています。若き冒険者リリーは、その島を見つけるという祖父の夢を叶えるため、旅に出ます。やがて彼女は島にたどり着き、魔法を操るチンパンジーたちと出会い、古代の伝説に巻き込まれていきます。リリーは森を救うため、島の秘密を解き明かすことができるのでしょうか。
表紙絵の表現: 霧が立ち込める森の中、輝く木々と神秘的なチンパンジーが、リリーを見守るように描かれています。夜空には星が瞬き、幻想的な風景が広がり、冒険の始まりを予感させます。

タイトル: 「チンパンジーの王国」
ジャンル: ファンタジー小説
あらすじ: チンパンジーが支配する異世界、「ジャングル・キングダム」。そこで、人間の少女マリアは、異世界に飛ばされ、チンパンジーの王国で不思議な力を持つ王子に出会います。王子とともに国を救うために魔法の旅に出ることになりますが、途中で数々の試練が待ち受けます。友情と勇気、そして裏切りが交差する中、マリアは自分の運命と向き合うことになります。
表紙絵の表現: 巨大な木々と滝が描かれ、王国の壮大な景色が広がる中、王冠をかぶったチンパンジーの王子とマリアが手を取り合って立っています。背景には魔法の光がきらめき、異世界の神秘的な雰囲気が漂っています。

タイトル: 「森の中の沈黙」
ジャンル: ミステリー小説
