9wW3P5fH6k0X,マングースの冒険,小さなマングースのマックスは、家族を守るために冒険に出かけます。彼は途中で新しい友達や敵に出会い、困難を乗り越えながら、家族の大切さを学びます。友情の力でさまざまな問題を解決し、最後には大切なことに気づく心温まる物語です。,藤原 達也,星の出版社,2020-04-15,1500,250,"9784897218412",http://vsv-peridot.skygroup.local/my-books/images/9wW3P5fH6k0X.jpg
J2h6M8bW1yH3,最後のマングース,マングース探偵のリオは、友人の失踪事件を追って、危険な陰謀に巻き込まれます。巧妙なトリックやヒントを解き明かし、真実に迫るリオは、意外な人物が黒幕であることを突き止めます。果たして、リオは友人を救い出せるのか？サスペンスフルな展開が続く中で、彼の鋭い観察力が試されます。,"鈴木 和彦,佐藤 美咲",青空出版,2023-01-09,2200,320,"9784918523067",http://vsv-peridot.skygroup.local/my-books/images/J2h6M8bW1yH3.jpg
T3xH9J2m5qK7,マングースと古代文明,古代エジプトを舞台に、マングースのセトが登場します。彼は神々の使者として、王家の秘密を守る役割を担っています。セトは自らの運命を知り、エジプトの運命をかけた冒険に挑むことに。歴史の裏側に隠された真実と神秘を紐解く旅が描かれます。,高橋 一郎,歴史社,2021-11-23,2800,400,"9784932578653",http://vsv-peridot.skygroup.local/my-books/images/T3xH9J2m5qK7.jpg
M0pK7R5j3B8n,マングースの魔法の世界,若いマングースリナは、異世界に迷い込みます。彼女は自分の持つ魔法の力を使って、悪の魔女から王国を救うための冒険に出発します。リナは仲間たちと共に数々の試練を乗り越え、友情や勇気の大切さを学びながら成長していきます。,遠藤 綾香,ファンタジー出版,2019-07-30,1900,300,"9784821579316",http://vsv-peridot.skygroup.local/my-books/images/M0pK7R5j3B8n.jpg
F8nQ2T7d5R4c,星空の下のマングース,マングースのノアは、星座に導かれた神秘的な力を持つ存在です。彼は友人たちと共に、失われた星の力を取り戻すための旅に出発します。途中で出会う様々なキャラクターたちとの交流や、逆境を乗り越えるストーリーが展開されます。最終的に、ノアは自分の運命を受け入れることになります。,佐々木 浩司,宇宙文庫,2022-08-12,1700,320,"9784879246321",http://vsv-peridot.skygroup.local/my-books/images/F8nQ2T7d5R4c.jpg
R2sP6V4k1Z8h,マングースの消えた秘密,町で起こる不思議な事件を解決するため、マングースの探偵テオが立ち上がります。数々の謎を解き明かす中で、彼は思いもよらぬ真実にたどり着きます。村人たちの記憶をたどりながら、テオは隠された秘密を解き明かし、事件の背後に潜む真犯人を突き止めることができるのか？,岩田 直樹,探偵社,2024-03-05,2000,280,"9784901236543",http://vsv-peridot.skygroup.local/my-books/images/R2sP6V4k1Z8h.jpg
H6xV4D9m8W1z,マングースと暗黒の遺産,マングースのカインは、祖父の遺した日記を手に入れ、その中に隠された財宝の謎を解き明かすことにします。彼は仲間と共に様々な手がかりを追い、過去の事件に関与した人物たちと対峙します。真実が明らかになるにつれ、カインは自らの過去と向き合わざるを得なくなる物語です。,安藤 翔太,冒険社,2020-06-11,2300,360,"9784817624345",http://vsv-peridot.skygroup.local/my-books/images/H6xV4D9m8W1z.jpg
Y4jQ7N8k3B1v,マングースの宇宙旅行,マングースのゼンは、宇宙を旅する宇宙船の一員として冒険を繰り広げます。彼らは未知の惑星を探索し、異星人との交流や危険な遭遇を通じて成長していきます。未来の技術と文化が交錯する中で、ゼンは自らの存在意義を見つける旅に挑みます。,中村 俊介,銀河出版,2023-02-14,2500,420,"9784917638521",http://vsv-peridot.skygroup.local/my-books/images/Y4jQ7N8k3B1v.jpg
X2fK5R1m3T7b,マングースの恋の行方,マングースのアリスは、仲間の中でひそかに思いを寄せる相手がいます。しかし、彼女はその気持ちを告げる勇気が持てずにいます。友情や恋愛の葛藤を描きながら、アリスは自己成長を遂げる物語。愛の力がどのように人を変えるのか、心温まる感動的なストーリーが展開されます。,村上 智樹,ラブストーリー出版社,2024-05-08,1800,300,"9784836912530",http://vsv-peridot.skygroup.local/my-books/images/X2fK5R1m3T7b.jpg
A6mW9B8k5J1p,マングースの生態図鑑,マングースの生態や習性、生活環境を詳しく解説した図鑑。美しい写真と共に、マングースの特性や行動を科学的に説明しています。子どもから大人まで楽しめる内容で、マングースへの理解が深まる一冊です。知識を深めるだけでなく、マングースを愛する気持ちを育むことを目的としています。,田中 由紀,自然科学社,2022-09-20,1500,250,"9784927311202",http://vsv-peridot.skygroup.local/my-books/images/A6mW9B8k5J1p.jpg

