4ka8i2tmH4yH,空の王者ワシの冒険,ある日の森で、小さなウサギが空を見上げると、ワシの姿がくっきりと見えました。ワシは、空の王者としての自信を持ち、様々な冒険を繰り広げます。ウサギはワシに憧れ、友達になることを決意。二人は空と地上を行き来し、困難を共に乗り越えることで、真の友情を育んでいきます。,秋元 美咲,星雲社,2022-03-15,1500,250,"9784598056721",http://vsv-peridot.skygroup.local/my-books/images/4ka8i2tmH4yH.jpg
3z7j4p6mW6kT,ワシの陰謀,謎の失踪事件が村を騒がせる中、若き探偵は現場に残された羽根に注目する。調査を進めるうちに、失踪した人々は共通してワシを目撃していたことが分かる。果たして、その羽根は何を意味し、真実を暴く鍵となるのか。探偵は、古代からの伝説と絡む事件の真相に迫ります。,田中 誠,山川出版,2020-07-08,2200,320,"9784691234567",http://vsv-peridot.skygroup.local/my-books/images/3z7j4p6mW6kT.jpg
v2f4a8z5M1pN,ワシと古代文明,古代エジプトにおいて、ワシは神々の使者とされ、重要な象徴として崇拝されていました。本書では、ワシが古代文明において果たした役割、そして彼らがどのようにワシを神聖視していたかを探ります。壁画や遺物を通じて、古代の人々の文化や信仰を深く理解することができます。,松本 直樹,古代書房,2018-05-10,3000,400,"9784912345678",http://vsv-peridot.skygroup.local/my-books/images/v2f4a8z5M1pN.jpg
k5j9m4w8P6aQ,ワシの羽ばたき,世界が魔法で満ちていた時代、強力な魔法のワシが、失われた羽を探し求めて旅をすることになります。羽を取り戻すことで彼は自身の力を取り戻し、邪悪な魔女に立ち向かうことができる。様々な仲間と共に繰り広げる冒険は、友情と信念の大切さを教えてくれるものとなります。,佐藤 健二,未来創造社,2021-11-22,1750,350,"9784738291456",http://vsv-peridot.skygroup.local/my-books/images/k5j9m4w8P6aQ.jpg
r1g7n2j8F9dR,ワシの背に乗った冒険者,小さな村に住む少年は、ある日、ワシに出会い、彼の背に乗ることになります。ワシは空を飛びながら、様々な国や文化を見せてくれます。少年はワシと共に、冒険の中で多くのことを学び、成長していきます。そして、最後には自分自身の運命に立ち向かうことになるのです。,藤原 和子,青空出版社,2019-09-30,2000,280,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/r1g7n2j8F9dR.jpg
y8q5m3e2D7xH,ワシの秘密,有名なオークションに出品されたワシの羽根。だが、その羽根には奇妙な模様が刻まれていた。著名な考古学者がその羽根を手に入れた瞬間、数々の謎が始まります。彼は、羽根が持つ秘密と過去の事件を追い、壮大な陰謀に巻き込まれていくことに。果たして真実はどこにあるのか。,小林 史郎,黒曜石出版,2020-02-14,2700,300,"9784801029384",http://vsv-peridot.skygroup.local/my-books/images/y8q5m3e2D7xH.jpg
f6s4t2e9L1bP,空の下の真実,地元の新聞記者が、不審なワシの目撃情報を追って調査を開始する。ワシの出現と同時に村では数々の不可解な事件が続発。記者は自らの足を使って真実を追い求めるが、村人たちの間にある秘密が浮かび上がる。果たしてワシは真実を知る鍵となるのか、事件の裏に隠された陰謀を解き明かせるのか。,井上 明美,未来出版,2023-01-05,1500,220,"9784598765432",http://vsv-peridot.skygroup.local/my-books/images/f6s4t2e9L1bP.jpg
a7n3k1h5R4dV,星空の恋,天文学者のアリスは、天体観測中に美しいワシに出会います。そのワシが導く星の輝きの中で、彼女は一人の青年と運命的な出会いを果たします。彼らは共に星を追い求め、次第に心を通わせるようになりますが、アリスはワシに隠された秘密を知ることになります。恋と星の物語が紡がれる中、彼女は自らの選択に悩むことになります。,原田 陽子,天文社,2022-06-28,1900,270,"9784930215643",http://vsv-peridot.skygroup.local/my-books/images/a7n3k1h5R4dV.jpg
v3c8b6j4T5fR,ワシの生態図鑑,本書は、ワシに関する詳細な生態や特徴、種類を網羅した図鑑です。各種ワシの生息地や行動様式、繁殖期の習性などを豊富な写真と共に解説し、自然愛好家や学生にとって貴重な情報源となります。特にワシの習性や捕食の様子を観察した写真も多数掲載しており、視覚的にも楽しめる内容です。,高橋 俊太,自然研究社,2021-10-05,2500,400,"9784598251678",http://vsv-peridot.skygroup.local/my-books/images/v3c8b6j4T5fR.jpg
p8m5s3e1H6zQ,ワシが見た未来,未来の世界では、人々はワシの目を通して地球の環境を観察することができる技術を開発しました。主人公は、ワシの視点を使って、過去の環境問題を解決しようと奮闘します。しかし、技術の進化には倫理的な問題も潜んでおり、彼は未来を守るために選択を迫られることになります。果たして彼は、環境を救うためにどのような決断を下すのか。,鈴木 拓也,環境出版,2023-08-12,2300,350,"9784827364597",http://vsv-peridot.skygroup.local/my-books/images/p8m5s3e1H6zQ.jpg

