「モルモットの冒険旅行」タイトルを含めた本の表紙絵。表紙には、モルとチビが草花に囲まれながら笑顔で寄り添い、陽光の下で遊んでいる姿が描かれています。背景には色とりどりの花や昆虫が飛び交い、楽しげな雰囲気が漂っています。全体的に明るく、心温まる印象を与えるデザインです。
「モルモットと消えた宝」タイトルを含めた本の表紙絵。表紙には、ルナが暗い洞窟の前に立ち、緊張感漂う表情で地図を見つめる姿が描かれています。洞窟の奥にはぼんやりと光る宝物の影が見え、探偵の雰囲気を醸し出しています。全体的に神秘的な色合いで、読者の好奇心を引き立てます。
「モルモットの歴史」タイトルを含めた本の表紙絵。表紙には、古代のモルモットの描写と現代の飼育風景がコラージュされており、歴史を感じさせるデザインです。背景には、時代を象徴するアイテムや風景が描かれ、歴史的な深みを与えています。
「夢の中のモルモット」タイトルを含めた本の表紙絵。表紙には、ニッキーが魔法の杖を持って、幻想的な世界を駆け抜ける姿が描かれています。背景にはカラフルな星や奇妙な生き物が浮かび、夢の中の不思議さと冒険感が際立っています。
「モルモットの魔法の仲間たち」タイトルを含めた本の表紙絵。表紙には、ベリーが魔法のリングを手にし、様々な仲間たちと共に冒険の旅に出る様子が描かれています。色とりどりの魔法の光が背景に広がり、壮大な冒険の始まりを感じさせます。
「モルモットの秘密の部屋」タイトルを含めた本の表紙絵。表紙には、リオが薄暗い廊下を進みながら、秘密の部屋の扉を開ける瞬間が描かれています。周囲には薄明かりが差し込み、緊張感が高まる雰囲気が表現されています。
「消えたモルモットの足跡」タイトルを含めた本の表紙絵。表紙には、マリが不安げに足元の足跡を見つめる姿が描かれています。背景には、夜の森が広がり、影がちらついています。ミステリーの雰囲気を強調するために、薄暗い色合いが使われています。
「未来のモルモットたち」タイトルを含めた本の表紙絵。表紙には、ソラがハイテクな装置の前でモルモットたちと共に作業をする姿が描かれています。背景には未来的な都市の風景が広がり、科学と自然の調和を感じさせるデザインです。
「モルモットの愛の物語」タイトルを含めた本の表紙絵。表紙には、フローラとリーフが春の花の中で寄り添い、目を合わせているシーンが描かれています。背景には満開の花や青空が広がり、幸福感あふれる印象を与えます。
「モルモットの世界探訪」タイトルを含めた本の表紙絵。表紙には、様々な種類のモルモットがそれぞれの特徴を生かしたポーズで描かれています。背景には彼らの生息地や生活の様子がイラスト化され、視覚的にモルモットの世界を体感できるデザインです。

3A4B1C7D8E9F,モルモットの冒険旅行,小さなモルモット「モル」が、友達の「チビ」と一緒に大冒険に出かけます。彼らは、色とりどりの野花や新しい友達に出会いながら、楽しい出来事を通して絆を深めていく様子が描かれています。森の中の不思議な場所や冒険を通じて、友情の大切さを学びます。,高橋 陽介,蒼天出版,2022-03-15,1500,128,"9784567891234",http://vsv-peridot.skygroup.local/my-books/images/3A4B1C7D8E9F.jpg
2B8C5E4F1A3F,モルモットと消えた宝,人気のモルモットが大事な宝物を隠したと聞き、主人公のモルモット「ルナ」はその謎を解くことに決めました。仲間たちと共に手がかりを集め、様々なトリックを解明しながら、真実に迫っていきます。果たして、ルナは宝物を見つけ出せるのか、彼女の冒険が始まります。,鈴木 仁,月の光社,2019-11-22,1200,250,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/2B8C5E4F1A3F.jpg
9A1B2C4D5E6F,モルモットの歴史,この本では、モルモットの歴史を探るため、古代から現代までの彼らの進化や生活様式について解説します。彼らがどのように人間と共存してきたのか、またその役割や影響についても触れます。特に農業や実験におけるモルモットの重要性についての考察を交え、科学と人間の関わりを考えさせる内容です。,"田中 健,山田 知美",白鷹出版,2020-07-05,2500,300,"9780987654321",http://vsv-peridot.skygroup.local/my-books/images/9A1B2C4D5E6F.jpg
1A3B4C5D6E7F,夢の中のモルモット,主人公のモルモット「ニッキー」は、毎晩夢の中で魔法の世界を冒険します。そこには、話す動物たちや不思議な生き物が住んでおり、ニッキーは仲間たちと共に数々の試練を乗り越え、真の勇気を試されることになります。夢の中の冒険が現実にどんな影響を与えるのか、その成長の物語が描かれます。,山本 悠太,未来書房,2023-02-18,1800,220,"9784321567890",http://vsv-peridot.skygroup.local/my-books/images/1A3B4C5D6E7F.jpg
2F4B3C1A6E5D,モルモットの魔法の仲間たち,小さな村に住むモルモットの「ベリー」は、ある日、魔法のリングを見つけます。それは異世界へ通じるもので、彼は自らの運命を切り開くために冒険の旅に出ます。新しい仲間たちと共に、悪の魔法使いに立ち向かい、友情や絆の力が試される物語が描かれています。,加藤 美香,青空文庫,2024-08-14,2000,300,"9785432167890",http://vsv-peridot.skygroup.local/my-books/images/2F4B3C1A6E5D.jpg
3D5A7E1C9B2F,モルモットの秘密の部屋,主人公のモルモット「リオ」は、古いお屋敷に住む友達から「秘密の部屋」の話を聞きます。そこで彼は、奇妙な現象や失われた宝物の謎を追い求めることになります。モルモットたちの団結が試される中、真実を明らかにし、友達の信頼を得るために奮闘するリオの姿が描かれています。,佐々木 一郎,緑の風出版,2021-09-12,1700,280,"9786543210987",http://vsv-peridot.skygroup.local/my-books/images/3D5A7E1C9B2F.jpg
7F4B6D1A9E8C,消えたモルモットの足跡,近所で起こったモルモットの失踪事件。主人公の「マリ」は、幼い頃からの友人が消えてしまったことに驚き、真相を探り始めます。手がかりを追いながら、友人の失踪に隠された秘密を明らかにし、最後には思わぬ真実にたどり着くマリの冒険が描かれます。,中村 誠,星のしずく社,2022-01-25,1600,250,"9787654321098",http://vsv-peridot.skygroup.local/my-books/images/7F4B6D1A9E8C.jpg
6E8B2A4F1D9C,未来のモルモットたち,未来の世界では、モルモットたちが特殊な技術を使って人間と共存しています。主人公の「ソラ」は、科学者の助けを借りて環境問題を解決するためのプロジェクトに参加します。彼女はモルモットの知恵と技術を融合させ、人間の未来をより良いものにするために奮闘する姿が描かれています。,本田 修,光の道出版,2023-05-30,2200,350,"9788765432109",http://vsv-peridot.skygroup.local/my-books/images/6E8B2A4F1D9C.jpg
8D1B6E4F2A5C,モルモットの愛の物語,森の中でひっそりと暮らすモルモット「フローラ」は、出会ったオスのモルモット「リーフ」に心を奪われます。彼女はリーフとの関係を深める中で、愛の意味や困難を乗り越える勇気を学び、彼女の心の成長と共に描かれる甘くて切ない恋愛の物語です。,鈴木 光,未来社,2024-06-11,1400,200,"9789876543210",http://vsv-peridot.skygroup.local/my-books/images/8D1B6E4F2A5C.jpg
3E5C7D1B8A4F,モルモットの世界探訪,この図鑑では、モルモットのさまざまな種類や特徴、生活環境について詳しく解説します。特に飼育方法や食事、健康管理についての情報も豊富に盛り込まれています。子供から大人まで、モルモットの魅力を知り、愛情を持って接するための知識を提供する内容となっています。,"井上 次郎,加藤 由美",教育出版,2021-12-20,2500,400,"9785432168901",http://vsv-peridot.skygroup.local/my-books/images/3E5C7D1B8A4F.jpg

