h3Qk6aP6a1N8,タコの海の冒険,小さなタコのオクトは、海の底で新しい友達を作るために冒険に出かけます。色とりどりの魚たちや海藻の森の中で出会った仲間たちと一緒に、楽しい出来事や小さなトラブルを乗り越えながら、自分の居場所を見つけていく心温まる物語です。彼の勇気と友情の大切さが描かれています。,川上 雄太,海洋出版,2023-02-14,1500,120,"9784567890123",http://vsv-peridot.skygroup.local/my-books/images/h3Qk6aP6a1N8.jpg
Q8e1aGz4iH4d,タコの謎,伝説の探偵タコ、アレックスが不気味な海の深層で起きた神秘的な事件を解決するために立ち上がります。仲間の魚たちと共に、数々の手がかりを追い求め、巧妙に隠された真実を暴いていく。果たして、真犯人は誰なのか？ 魚たちの世界に潜む意外な真実が明らかになります。,"長谷川 明,藤井 美咲",探検社,2020-06-30,2000,250,"9784567890124",http://vsv-peridot.skygroup.local/my-books/images/Q8e1aGz4iH4d.jpg
9M12sHx4s1nZ,タコの歴史探訪,この本では、タコの生態や文化的な役割について詳しく解説します。古代から現代に至るまで、タコはどのように人々と関わりを持ってきたのか、またその重要性がどのように変わってきたのかを多様な視点から探ります。タコが登場する神話や伝説、さらには食文化における役割も紹介し、知識を深める一冊です。,佐々木 宏,博物館出版,2018-11-12,2500,320,"9784567890125",http://vsv-peridot.skygroup.local/my-books/images/9M12sHx4s1nZ.jpg
Z1e4uJk7jD6l,魔法のタコ王国,タコのティンクは、異世界の魔法の海に迷い込みます。そこで彼は、さまざまな魔法を使う生き物たちと出会い、悪の魔女に立ち向かう運命を背負うことになります。友情を育み、成長する中で、彼は自分の力を発見し、真の英雄となる物語が繰り広げられます。,水野 翔太,ファンタジー出版,2021-07-05,1800,260,"9784567890126",http://vsv-peridot.skygroup.local/my-books/images/Z1e4uJk7jD6l.jpg
7B1k9tA5jR3e,タコの伝説,遠い海の底に住むタコのアリスは、長い間失われた伝説の宝を求めて旅に出ます。彼女は様々な海の生き物たちと出会い、彼らの知恵や助けを借りながら、数々の試練を乗り越えていきます。友情や勇気の力を信じて、アリスは果たしてその宝を手に入れることができるのでしょうか？,"伊藤 健,小林 誠",神話出版,2022-09-18,2200,280,"9784567890127",http://vsv-peridot.skygroup.local/my-books/images/7B1k9tA5jR3e.jpg
0kL9nUe6rA8s,タコの暗闇,タコの刑事ジェイクは、海の底で起きた連続失踪事件を追うことになります。彼は暗闇の中で手がかりを探し、仲間の魚たちと協力して真実を突き止めようとします。しかし、隠された秘密が次第に明らかになり、思わぬ展開が待ち受けています。ジェイクは果たして無事に事件を解決できるのか？,佐藤 健一,ミステリー出版社,2024-03-10,1700,340,"9784567890128",http://vsv-peridot.skygroup.local/my-books/images/0kL9nUe6rA8s.jpg
x5H6gWm4sP1e,タコの失われた宝,タコのサミーは、村の海に伝わる失われた宝の謎を解明するために立ち上がります。彼は友達と共に、宝を探す冒険の中で出会った奇妙な生き物たちと交流し、意外な真実を発見します。宝の行方はどこにあるのか？友情や協力の大切さが描かれた物語です。,高橋 美紀,冒険社,2023-12-01,1900,220,"9784567890129",http://vsv-peridot.skygroup.local/my-books/images/x5H6gWm4sP1e.jpg
P8k7jQx1fS5h,宇宙のタコ,未来の宇宙で、タコのタロウは高度な知能を持つ生物として地球外の探査を行っています。彼は未知の惑星を訪れ、様々な異星人と出会い、協力しながら宇宙の秘密を解き明かす旅に出ます。友情や冒険を通じて、彼は自らの存在意義を見つける物語です。,田中 陽介,銀河出版社,2024-08-15,2300,300,"9784567890130",http://vsv-peridot.skygroup.local/my-books/images/P8k7jQx1fS5h.jpg
e4T2nGq5yB1p,タコと恋する海,タコのリリは、海の中で他の生き物たちと共に生活していたが、ある日出会ったカメのカールに心を奪われます。彼女は彼との愛を育むために、様々な困難を乗り越え、海の仲間たちの理解を得る努力をします。彼女たちの純粋な愛が試される感動の物語です。,山本 隆,ラブストーリー出版社,2022-01-22,2000,180,"9784567890131",http://vsv-peridot.skygroup.local/my-books/images/e4T2nGq5yB1p.jpg
y0Z7fJq9kS6c,タコの知識大全,この図鑑では、タコの生態、種類、生活習慣について詳しく解説しています。美しい写真とともに、各種タコの特徴や生息地、行動様式が紹介されており、タコの魅力を存分に楽しめる一冊です。子どもから大人まで、幅広い層に向けた知識の宝庫です。,鈴木 達也,教育出版社,2024-02-01,2500,400,"9784567890132",http://vsv-peridot.skygroup.local/my-books/images/y0Z7fJq9kS6c.jpg

