t8f1Z3k9D0zC,モグラのかくれんぼ,地面の下に住むモグラたちは、かくれんぼが大好きです。友達と一緒に様々な場所に隠れ、日が沈むまで楽しむ様子が描かれています。彼らのユニークな隠れ場所や、友達同士の協力、そして発見の喜びを通じて、子どもたちに友情の大切さを教えます。可愛らしいイラストと共に、モグラの世界の魅力を引き出した一冊です。,長谷川 海斗,コスモス出版社,2019-03-14,1500,120,"9784823005865",http://vsv-peridot.skygroup.local/my-books/images/t8f1Z3k9D0zC.jpg
s2K6x1Qv0ZgE,暗闇の中の真実,地下で発見された謎のモグラの死体。主人公の探偵は、モグラの世界に潜入し、彼の死に隠された真実を追い求めます。仲間のモグラたちと協力しながら、次々と明らかになる陰謀や隠された過去。果たして、真相にたどり着くことはできるのか。彼らの探索は暗闇に潜む危険と謎に満ちた冒険へと進展していきます。果たして真実はどこに隠されているのか、読者を引き込む緊張感が溢れる作品です。,有村 純一,山の幸出版,2022-05-21,2200,290,"9784621903346",http://vsv-peridot.skygroup.local/my-books/images/s2K6x1Qv0ZgE.jpg
P3hF4gZq0XbD,モグラの歴史探訪,モグラが生きてきた歴史を辿る一冊。彼らがどのように進化し、地下の環境に適応してきたのかを解説します。古代の化石や、彼らの社会生活、また地下世界での役割についても触れ、モグラの魅力を深く知ることができます。モグラの多様性と生態系における重要な位置づけを理解するための貴重な資料です。特に子どもたちにとって、モグラの不思議な世界を知る良いきっかけとなるでしょう。,田中 明子,未来社,2021-09-30,1700,250,"9784312935108",http://vsv-peridot.skygroup.local/my-books/images/P3hF4gZq0XbD.jpg
y7L3k6Wv8FpN,モグラの魔法の庭,不思議な力を持つモグラの「ミュー」は、魔法の庭を持つことになりました。この庭では、モグラたちが夢のような冒険を繰り広げます。しかし、魔法を使うためには試練を乗り越えなければなりません。友達との協力や勇気を試される中、ミューは成長し、庭を守るための力を手に入れることができるのでしょうか。この物語を通じて、友情や自己成長の大切さが描かれています。,清水 優花,青空文庫,2020-01-15,1800,200,"9784986129405",http://vsv-peridot.skygroup.local/my-books/images/y7L3k6Wv8FpN.jpg
J8kH3tRz6CpF,モグラと地下王国の秘密,地下に隠された王国の存在が明らかになる。モグラの「タクト」は、伝説の王国を守る使命を持つ者として選ばれ、仲間たちと共に冒険に出発します。地下の世界で出会う新しい仲間や、数々の試練を通じて、友情の力と自分自身の成長を実感していく姿が描かれます。果たして、彼らはその王国の秘密を解き明かすことができるのか？読者を引き込むワクワクする冒険が待っています。,中村 和彦,宮崎出版,2018-12-03,2500,360,"9784882931476",http://vsv-peridot.skygroup.local/my-books/images/J8kH3tRz6CpF.jpg
b4K0d9Wz7RnL,失われたモグラの足跡,モグラの村で連続失踪事件が発生。主人公は、仲間たちと共に真相を追いかけます。手がかりを一つ一つ拾い集めながら、彼らは過去の秘密に直面し、様々な危険を乗り越えていくことになります。果たして、失踪の背後にある真実とは何なのか？緊迫感溢れる展開の中で、友情や勇気が試される感動の物語です。読者は、モグラたちの絆の力を感じることでしょう。,石田 誠,鈴木書房,2017-06-28,2100,400,"9784956321775",http://vsv-peridot.skygroup.local/my-books/images/b4K0d9Wz7RnL.jpg
H5vT8qK3b1FJ,モグラの星の旅,未来の世界、モグラたちは宇宙に旅立ち、新たな星を探す冒険に挑みます。彼らは様々な惑星での体験を通じて、自分たちの存在意義や宇宙の神秘を学んでいきます。果たして、モグラたちは何を見つけるのか？新たな友や驚きに満ちた経験が、彼らの心を豊かにしていくことでしょう。宇宙を舞台にした夢のような冒険が繰り広げられます。,白石 理沙,高橋書店,2023-02-18,2600,480,"9784845348292",http://vsv-peridot.skygroup.local/my-books/images/H5vT8qK3b1FJ.jpg
w6Y0m8H3e2Rp,モグラの秘密の恋,モグラの「アリス」は、他のモグラとの恋に悩んでいた。心の中には、幼馴染の「ボブ」への淡い想いが。彼女は自分の気持ちを確かめるため、仲間との冒険を通じて自分自身を見つめ直します。友情や愛情の狭間で揺れるアリスの成長が描かれる感動的なストーリー。恋のドキドキや友情の大切さが、心に響く作品です。,佐々木 直樹,松本文庫,2021-08-11,1900,320,"9784836201735",http://vsv-peridot.skygroup.local/my-books/images/w6Y0m8H3e2Rp.jpg
G3kM2nJ5f8LQ,モグラの生態図鑑,モグラの生態や特徴を詳しく解説した図鑑。モグラの生活環境、食性、そして社会的行動についての情報が豊富に盛り込まれています。多くの写真やイラストを交え、視覚的に理解しやすくなっています。専門家の知見をもとに、モグラの生態について深く学ぶことができる一冊です。子どもから大人まで楽しめる内容となっています。,村上 昇平,学び舎出版,2024-06-30,1600,200,"9784763721080",http://vsv-peridot.skygroup.local/my-books/images/G3kM2nJ5f8LQ.jpg
e5B8s1Zg2JkF,モグラの秘密の宝物,ある日、モグラの村に伝わる「伝説の宝物」の地図が見つかります。主人公のモグラ、「リオ」は友達と共にその宝物を探す旅に出発。しかし、道中で様々なトラブルや試練が待ち受けています。果たして彼らは無事に宝物を見つけることができるのか。友情や冒険の中での成長が描かれる、子どもたちに贈る感動の物語です。,藤田 明,未来図書,2022-11-14,2100,310,"9784913782597",http://vsv-peridot.skygroup.local/my-books/images/e5B8s1Zg2JkF.jpg

