A1B2C3add3F6,ブタのぼうけん,小さなブタのポポは、広い森に住む友達を訪ねるために冒険に出ます。途中、様々な動物たちに出会い、友情の大切さや勇気を学びます。ポポは新しい友達を見つけ、楽しい経験を通じて成長していく姿が描かれています。最後には、森の仲間たちと共に特別な祭りを開くことになり、心温まる結末が待っています。,小山 実,ひなた出版,2018-03-15,1500,120,"9781234567890",http://vsv-peridot.skygroup.local/my-books/images/A1B2C3D4E5F6.jpg
G7H8I1232FL2,ブタの口から始まる事件,人気のない農場で、名探偵マコトは奇妙な失踪事件に直面します。唯一の目撃者は、一匹のブタ。彼が語る言葉には、真実を解き明かす手がかりが隠されていると信じたマコトは、ブタとのコミュニケーションを試みます。動物たちとの交流を通じて、事件の背後にある陰謀を解明していく彼の姿を描く、心温まるミステリーです。,"田中 一郎,山本 健二",星の文庫,2020-06-10,2000,250,"9781234567891",http://vsv-peridot.skygroup.local/my-books/images/G7H8I9J0K1L2.jpg
M3N41232sdR8,ブタの歴史をさかのぼる,ブタは古代から人間と共に歩んできた動物です。本書では、ブタの domestication の歴史、文化における役割、そしてさまざまな地域におけるブタの飼育方法について詳細に探求します。古代エジプトから現代に至るまで、ブタがどのように人々の生活を豊かにしてきたのか、その貴重な知識を紹介します。,佐藤 美智子,青空出版,2022-09-18,2500,300,"9781234567892",http://vsv-peridot.skygroup.local/my-books/images/M3N4O5P6Q7R8.jpg
S9T0U1V2W3X4,魔法のブタ、ウィズ,若き魔法使いのリナは、ある日、魔法の力を持つブタ・ウィズと出会います。ウィズは、魔法の世界を救うために必要な秘密を知っていると言います。リナはウィズと共に冒険に出かけ、危険な試練を乗り越えながら成長していきます。友情、勇気、そして運命が交錯する物語が展開します。大きな試練を乗り越えた先には、リナとウィズの絆が待っているのです。,"鈴木 陽子,松田 結",未来の扉,2024-01-02,2200,180,"9781234567893",http://vsv-peridot.skygroup.local/my-books/images/S9T0U1V2W3X4.jpg
Y5Z6A7B8C9D0,ブタの王国の秘密,一見普通の農場に見える場所には、実は不思議なブタたちが住む王国が隠されています。若き農夫のケンは、ある日、王国への扉を見つけてしまいます。そこには、ブタたちが持つ特別な力や、彼らの国を脅かす悪の存在が待ち受けています。ケンは、ブタたちと共に王国を救う冒険に挑むことになります。彼の成長と友情が描かれる、感動のファンタジーです。,"高橋 直樹,藤田 健太",夢の中の書房,2021-07-23,3000,350,"9781234567894",http://vsv-peridot.skygroup.local/my-books/images/Y5Z6A7B8C9D0.jpg
E1F2G3H4I5J6,ブタの謎を追え！,知られざる村で、ブタの突然死が続発する事件が発生。村人たちは恐れと不安を抱え、ブタの異変を解決するため、若い刑事アキラが呼ばれます。アキラは、ブタたちの生活を調査しながら、村の秘密に迫っていきます。予期せぬ真実が彼を待ち受けていることに気づくのはいつなのか。サスペンスが詰まった物語が読者を引き込むことでしょう。,小川 理恵,白鷺出版,2019-11-05,1700,200,"9781234567895",http://vsv-peridot.skygroup.local/my-books/images/E1F2G3H4I5J6.jpg
K7L8M9N0O1P2,ブタの声、真実の音,有名な音楽家が不審な死を遂げ、その現場には一匹のブタがいた。ブタが何かを知っていると信じた音楽家の弟、ジュンは、ブタとのコミュニケーションを試みます。彼は音楽を通じて、ブタが持つ秘密を解き明かし、兄の死の真相に迫っていきます。音楽と動物の絆が描かれた、心に残るミステリーが展開されます。,岩田 結衣,音楽の森出版,2023-05-30,1900,240,"9781234567896",http://vsv-peridot.skygroup.local/my-books/images/K7L8M9N0O1P2.jpg
Q3R4S5T6U7V8,ブタ星の使者,未来の地球で、ブタは高度な知能を持つ種族として進化しています。彼らは、人間のもとへ「ブタ星」の危機を知らせるために派遣されました。人間とブタの間に芽生える友情や、異星の文化の衝突を描く物語が展開され、最終的には共に危機を乗り越えることが求められます。感動的な結末が待っています。ブタたちの知恵が試される、SFファンタジーです。,森田 直樹,未来社,2020-12-12,2500,500,"9781234567897",http://vsv-peridot.skygroup.local/my-books/images/Q3R4S5T6U7V8.jpg
W1X2Y3Z4A5B6,ブタの愛、心の中に,小さな農場で暮らす女性、サエは、ブタのミミを飼っています。ある日、彼女は農場の隣に住む青年、タカと出会い、心を寄せるようになります。ミミは、サエとタカの関係をつなぐ架け橋となり、彼らは共に成長していきます。ブタを通じて描かれる愛と友情の物語に、思わず心が温まります。彼らの関係は、農場での様々な出来事を通じて深まっていくのです。,高田 陽子,ふくろう出版,2022-03-29,1600,150,"9781234567898",http://vsv-peridot.skygroup.local/my-books/images/W1X2Y3Z4A5B6.jpg
C7D8E9F0G1H2,ブタのすべて,本書は、ブタに関する包括的な情報を集めた図鑑です。ブタの種類、特徴、生態、文化における役割など、様々な側面からブタを探求します。視覚的に楽しめる写真やイラストを交えながら、ブタの魅力を深く理解できる一冊です。子供から大人まで楽しめる内容となっており、様々な情報が詰まった充実した一冊です。,橋本 剛,図書館出版,2024-04-01,3000,450,"9781234567899",http://vsv-peridot.skygroup.local/my-books/images/C7D8E9F0G1H2.jpg

